"",BBK01.OEAH51Q,BBK01.OEAH51Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:16,
2002-01,0.018,
2002-04,0.018,
2002-07,0.018,
2002-10,0.015,
2003-01,0.015,
2003-04,0.015,
2003-07,0.012,
2003-10,0.012,
2004-01,0.011,
2004-04,0.010,
2004-07,0.010,
2004-10,0.008,
2005-01,0.008,
2005-04,0.008,
2005-07,0.007,
2005-10,0.007,
2006-01,0.010,
2006-04,0.012,
2006-07,0.015,
2006-10,0.019,
2007-01,0.024,
2007-04,0.027,
2007-07,0.034,
2007-10,0.041,
2008-01,0.043,
2008-04,0.046,
2008-07,0.049,
2008-10,0.056,
2009-01,0.053,
2009-04,0.046,
2009-07,0.037,
2009-10,0.022,
2010-01,0.016,
2010-04,0.014,
2010-07,0.013,
2010-10,0.013,
2011-01,0.016,
2011-04,0.018,
2011-07,0.017,
2011-10,0.018,
2012-01,0.012,
2012-04,0.011,
2012-07,0.010,
2012-10,0.010,
2013-01,0.008,
2013-04,0.006,
2013-07,0.005,
2013-10,0.003,
2014-01,0.003,
2014-04,0.004,
2014-07,0.003,
