"",BBFB1.Q.N.DE.FI.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.FI.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Finland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:05,
1991-01,10.235,
1991-04,6.099,
1991-07,10.590,
1991-10,22.983,
1992-01,4.069,
1992-04,7.184,
1992-07,14.927,
1992-10,38.535,
1993-01,3.858,
1993-04,34.069,
1993-07,10.732,
1993-10,23.761,
1994-01,31.880,
1994-04,18.065,
1994-07,15.216,
1994-10,46.746,
1995-01,-6.432,
1995-04,1.847,
1995-07,-5.954,
1995-10,-2.760,
1996-01,-15.737,
1996-04,101.686,
1996-07,200.546,
1996-10,-14.316,
1997-01,67.658,
1997-04,-38.523,
1997-07,34.199,
1997-10,-94.157,
1998-01,-1.872,
1998-04,56.998,
1998-07,141.277,
1998-10,280.334,
1999-01,249.189,
1999-04,23.085,
1999-07,190.535,
1999-10,36.925,
2000-01,32.929,
2000-04,-30.369,
2000-07,272.107,
2000-10,-68.830,
2001-01,-15.062,
2001-04,-118.065,
2001-07,-87.713,
2001-10,-36.008,
2002-01,451.436,
2002-04,212.536,
2002-07,134.263,
2002-10,-83.896,
2003-01,1.821,
2003-04,-90.434,
2003-07,-146.963,
2003-10,334.337,
2004-01,677.229,
2004-04,-68.158,
2004-07,-7.904,
2004-10,84.056,
2005-01,-125.238,
2005-04,159.140,
2005-07,135.623,
2005-10,-62.357,
2006-01,505.128,
2006-04,119.231,
2006-07,212.183,
2006-10,74.325,
2007-01,204.040,
2007-04,-71.602,
2007-07,76.110,
2007-10,177.358,
2008-01,230.264,
2008-04,641.347,
2008-07,-106.656,
2008-10,493.522,
2009-01,-212.940,
2009-04,361.065,
2009-07,-2.602,
2009-10,-105.525,
2010-01,-104.415,
2010-04,69.247,
2010-07,229.969,
2010-10,2984.448,
2011-01,-79.043,
2011-04,113.565,
2011-07,217.196,
2011-10,198.027,
2012-01,816.073,
2012-04,106.812,
2012-07,124.209,
2012-10,404.584,
2013-01,-2714.170,
2013-04,-285.291,
2013-07,-109.817,
2013-10,347.978,
2014-01,409.474,Provisional value
2014-04,-145.227,Provisional value
2014-07,138.982,Provisional value
2014-10,422.220,Provisional value
