"",BBK01.OEAE16T,BBK01.OEAE16T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:07,
2002-01,0.064,
2002-04,0.053,
2002-07,0.062,
2002-10,0.061,
2003-01,0.063,
2003-04,0.059,
2003-07,0.059,
2003-10,0.071,
2004-01,0.064,
2004-04,0.064,
2004-07,0.057,
2004-10,0.066,
2005-01,0.059,
2005-04,0.060,
2005-07,0.066,
2005-10,0.065,
2006-01,0.056,
2006-04,0.054,
2006-07,0.046,
2006-10,0.056,
2007-01,0.053,
2007-04,0.055,
2007-07,0.056,
2007-10,0.054,
2008-01,0.050,
2008-04,0.048,
2008-07,0.047,
2008-10,0.052,
2009-01,0.050,
2009-04,0.051,
2009-07,0.049,
2009-10,0.035,
2010-01,0.049,
2010-04,0.047,
2010-07,0.044,
2010-10,0.044,
2011-01,0.044,
2011-04,0.050,
2011-07,0.049,
2011-10,0.046,
2012-01,0.047,
2012-04,0.047,
2012-07,0.047,
2012-10,0.048,
2013-01,0.049,
2013-04,0.051,
2013-07,0.044,
2013-10,0.051,
2014-01,0.054,
2014-04,0.052,
2014-07,0.048,
