"",BBK01.CEF004,BBK01.CEF004_FLAGS
"",Total assets                debtor: Total           creditor: Central bank,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:31:37,
1999-01,223.3,
1999-04,217.1,
1999-07,226.8,
1999-10,246.3,
2000-01,246.3,
2000-04,246.5,
2000-07,248.9,
2000-10,254.3,
2001-01,249.2,
2001-04,241.3,
2001-07,236.8,
2001-10,211.5,
2002-01,215.1,
2002-04,205.8,
2002-07,221.8,
2002-10,240.2,
2003-01,235.6,
2003-04,235.6,
2003-07,250.3,
2003-10,264.2,
2004-01,252.7,
2004-04,265.9,
2004-07,280.1,
2004-10,290.2,
2005-01,291.3,
2005-04,304.5,
2005-07,321.6,
2005-10,340.9,
2006-01,337.3,
2006-04,344.1,
2006-07,359.2,
2006-10,370.7,
2007-01,368.4,
2007-04,370.5,
2007-07,391.1,
2007-10,480.9,
2008-01,450.7,
2008-04,444.5,
2008-07,516.9,
2008-10,610.3,
2009-01,537.0,
2009-04,625.7,
2009-07,563.4,
2009-10,574.0,
2010-01,594.0,
2010-04,698.1,
2010-07,608.3,
2010-10,656.3,
2011-01,617.7,
2011-04,617.9,
2011-07,749.6,
2011-10,822.4,
2012-01,987.9,
2012-04,1103.9,
2012-07,1075.4,
2012-10,1011.0,
2013-01,891.6,
2013-04,824.9,
2013-07,820.4,
2013-10,786.3,
2014-01,723.4,
2014-04,710.9,
2014-07,723.1,
