"",BBK01.OECB24M,BBK01.OECB24M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:44,
2002-01,0.220,
2002-04,0.226,
2002-07,0.224,
2002-10,0.228,
2003-01,0.227,
2003-04,0.229,
2003-07,0.226,
2003-10,0.231,
2004-01,0.237,
2004-04,0.245,
2004-07,0.251,
2004-10,0.242,
2005-01,0.633,
2005-04,0.611,
2005-07,0.603,
2005-10,0.594,
2006-01,0.597,
2006-04,0.590,
2006-07,0.587,
2006-10,0.371,
2007-01,0.380,
2007-04,0.410,
2007-07,0.431,
2007-10,0.541,
2008-01,0.453,
2008-04,0.433,
2008-07,0.448,
2008-10,0.423,
2009-01,0.405,
2009-04,0.600,
2009-07,0.593,
2009-10,0.473,
2010-01,0.463,
2010-04,0.468,
2010-07,0.449,
2010-10,0.454,
2011-01,0.436,
2011-04,0.417,
2011-07,0.406,
2011-10,0.351,
2012-01,0.343,
2012-04,0.332,
2012-07,0.344,
2012-10,0.372,
2013-01,0.373,
2013-04,0.377,
2013-07,0.215,
2013-10,0.388,
2014-01,0.380,
2014-04,0.346,
2014-07,0.338,
