"",BBFN1.M.DE.N.1.L.MT.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.MT.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Malta,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:11:38,
1995-01,0.100,
1995-02,0.105,
1995-03,0.104,
1995-04,0.099,
1995-05,0.103,
1995-06,0.103,
1995-07,0.102,
1995-08,0.105,
1995-09,0.105,
1995-10,0.109,
1995-11,0.108,
1995-12,0.098,
1996-01,0.098,
1996-02,0.102,
1996-03,0.104,
1996-04,0.107,
1996-05,0.115,
1996-06,0.108,
1996-07,0.108,
1996-08,0.108,
1996-09,0.111,
1996-10,0.112,
1996-11,0.111,
1996-12,0.123,
1997-01,0.124,
1997-02,0.126,
1997-03,0.132,
1997-04,0.127,
1997-05,0.130,
1997-06,0.124,
1997-07,0.098,
1997-08,0.105,
1997-09,0.111,
1997-10,0.112,
1997-11,0.116,
1997-12,0.120,
1998-01,0.113,
1998-02,0.104,
1998-03,0.104,
1998-04,0.105,
1998-05,0.115,
1998-06,0.077,
1998-07,0.095,
1998-08,0.094,
1998-09,0.100,
1998-10,0.100,
1998-11,0.104,
1998-12,0.104,
1999-01,0.102,
1999-02,0.098,
1999-03,0.100,
1999-04,0.103,
1999-05,0.096,
1999-06,0.096,
1999-07,0.101,
1999-08,0.104,
1999-09,0.115,
1999-10,0.113,
1999-11,0.120,
1999-12,0.104,
2000-01,0.112,
2000-02,0.115,
2000-03,0.106,
2000-04,0.112,
2000-05,0.097,
2000-06,0.098,
2000-07,0.101,
2000-08,0.101,
2000-09,0.105,
2000-10,0.107,
2000-11,0.116,
2000-12,0.122,
2001-01,0.121,
2001-02,0.128,
2001-03,0.132,
2001-04,0.131,
2001-05,0.135,
2001-06,0.138,
2001-07,0.129,
2001-08,0.134,
2001-09,0.133,
2001-10,0.137,
2001-11,0.144,
2001-12,0.110,
2002-01,0.111,
2002-02,0.108,
2002-03,0.059,
2002-04,0.061,
2002-05,0.060,
2002-06,0.053,
2002-07,0.056,
2002-08,0.051,
2002-09,0.053,
2002-10,0.063,
2002-11,0.068,
2002-12,0.062,
2003-01,0.056,
2003-02,0.055,
2003-03,0.046,
2003-04,0.052,
2003-05,0.082,
2003-06,0.083,
2003-07,0.078,
2003-08,0.085,
2003-09,0.080,
2003-10,0.084,
2003-11,0.085,
2003-12,0.086,
2004-01,0.086,
2004-02,0.087,
2004-03,0.086,
2004-04,0.084,
2004-05,0.084,
2004-06,0.080,
2004-07,0.086,
2004-08,0.104,
2004-09,0.096,
2004-10,0.087,
2004-11,0.090,
2004-12,0.080,
2005-01,0.078,
2005-02,0.041,
2005-03,0.088,
2005-04,0.089,
2005-05,0.095,
2005-06,0.096,
2005-07,0.104,
2005-08,0.092,
2005-09,0.103,
2005-10,0.105,
2005-11,0.127,
2005-12,0.112,
2006-01,0.108,
2006-02,0.121,
2006-03,0.062,
2006-04,0.063,
2006-05,0.338,
2006-06,0.344,
2006-07,0.455,
2006-08,0.515,
2006-09,1.356,
2006-10,1.118,
2006-11,1.132,
2006-12,1.129,
2007-01,1.122,
2007-02,1.220,
2007-03,1.204,
2007-04,1.853,
2007-05,2.848,
2007-06,2.853,
2007-07,2.221,
2007-08,2.290,
2007-09,2.287,
2007-10,2.311,
2007-11,1.872,
2007-12,1.868,
2008-01,2.420,
2008-02,2.250,
2008-03,1.882,
2008-04,2.305,
2008-05,2.503,
2008-06,2.435,
2008-07,3.258,
2008-08,3.351,
2008-09,2.873,
2008-10,2.585,
2008-11,2.387,
2008-12,3.529,
2009-01,3.219,
2009-02,3.488,
2009-03,3.125,
2009-04,2.040,
2009-05,2.066,
2009-06,1.727,
2009-07,1.836,
2009-08,1.798,
2009-09,1.817,
2009-10,1.896,
2009-11,1.896,
2009-12,2.123,
2010-01,2.065,
2010-02,2.040,
2010-03,2.693,
2010-04,2.606,
2010-05,2.623,
2010-06,2.622,
2010-07,2.671,
2010-08,2.710,
2010-09,2.790,
2010-10,2.641,
2010-11,2.686,
2010-12,3.243,
2011-01,2.819,
2011-02,2.663,
2011-03,2.631,
2011-04,2.692,
2011-05,2.599,
2011-06,7.527,
2011-07,8.522,
2011-08,8.512,
2011-09,8.649,
2011-10,3.360,
2011-11,3.329,
2011-12,3.428,
2012-01,3.293,
2012-02,3.328,
2012-03,3.679,
2012-04,3.319,
2012-05,3.289,
2012-06,3.626,
2012-07,4.091,
2012-08,2.914,
2012-09,2.952,
2012-10,2.801,
2012-11,6.431,
2012-12,6.535,
2013-01,6.421,
2013-02,7.075,
2013-03,7.189,
2013-04,6.198,
2013-05,6.353,
2013-06,6.367,
2013-07,6.274,
2013-08,3.288,
2013-09,2.570,
2013-10,2.399,
2013-11,1.959,
2013-12,2.478,
2014-01,2.321,
2014-02,2.426,
2014-03,2.085,
2014-04,1.989,
2014-05,2.208,
2014-06,2.344,
2014-07,2.379,
2014-08,2.276,
2014-09,2.908,
2014-10,2.660,
2014-11,3.434,
2014-12,3.090,
