"",BBK01.OEHB22M,BBK01.OEHB22M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:04,
2002-01,0.636,
2002-04,0.597,
2002-07,0.635,
2002-10,0.536,
2003-01,0.709,
2003-04,0.922,
2003-07,0.896,
2003-10,0.965,
2004-01,1.027,
2004-04,1.097,
2004-07,1.113,
2004-10,1.255,
2005-01,1.476,
2005-04,1.417,
2005-07,1.401,
2005-10,1.391,
2006-01,1.574,
2006-04,1.645,
2006-07,1.478,
2006-10,1.540,
2007-01,1.631,
2007-04,1.456,
2007-07,1.212,
2007-10,1.101,
2008-01,1.110,
2008-04,1.075,
2008-07,1.217,
2008-10,1.213,
2009-01,1.224,
2009-04,0.865,
2009-07,0.816,
2009-10,0.734,
2010-01,0.951,
2010-04,1.047,
2010-07,0.895,
2010-10,0.799,
2011-01,1.028,
2011-04,0.943,
2011-07,0.778,
2011-10,0.802,
2012-01,0.822,
2012-04,0.833,
2012-07,0.920,
2012-10,0.745,
2013-01,0.747,
2013-04,0.752,
2013-07,0.801,
2013-10,0.926,
2014-01,0.805,
2014-04,0.876,
2014-07,0.876,
