"",BBK01.OEAE06K,BBK01.OEAE06K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:51,
2002-01,5.719,
2002-04,5.763,
2002-07,5.733,
2002-10,6.328,
2003-01,5.691,
2003-04,5.240,
2003-07,5.048,
2003-10,5.431,
2004-01,4.680,
2004-04,4.558,
2004-07,4.575,
2004-10,4.412,
2005-01,4.205,
2005-04,4.451,
2005-07,4.494,
2005-10,4.455,
2006-01,4.450,
2006-04,4.533,
2006-07,4.542,
2006-10,4.676,
2007-01,3.931,
2007-04,3.805,
2007-07,3.741,
2007-10,3.839,
2008-01,4.107,
2008-04,3.975,
2008-07,3.978,
2008-10,4.146,
2009-01,4.284,
2009-04,4.340,
2009-07,4.266,
2009-10,4.006,
2010-01,4.080,
2010-04,4.220,
2010-07,4.448,
2010-10,4.696,
2011-01,4.814,
2011-04,5.071,
2011-07,5.319,
2011-10,5.050,
2012-01,5.085,
2012-04,4.873,
2012-07,5.066,
2012-10,4.974,
2013-01,5.059,
2013-04,5.145,
2013-07,4.992,
2013-10,4.649,
2014-01,4.387,
2014-04,4.716,
2014-07,4.673,
