"",BBK01.OEAH61Q,BBK01.OEAH61Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:19,
2002-01,1.291,
2002-04,1.311,
2002-07,1.277,
2002-10,1.292,
2003-01,1.298,
2003-04,1.215,
2003-07,1.288,
2003-10,1.273,
2004-01,1.334,
2004-04,1.316,
2004-07,1.362,
2004-10,1.431,
2005-01,1.611,
2005-04,1.614,
2005-07,1.681,
2005-10,1.710,
2006-01,1.732,
2006-04,1.812,
2006-07,1.863,
2006-10,1.919,
2007-01,1.890,
2007-04,1.902,
2007-07,2.589,
2007-10,2.729,
2008-01,2.803,
2008-04,2.757,
2008-07,2.794,
2008-10,2.942,
2009-01,2.960,
2009-04,3.124,
2009-07,3.179,
2009-10,3.298,
2010-01,3.405,
2010-04,3.422,
2010-07,3.419,
2010-10,3.450,
2011-01,3.477,
2011-04,3.459,
2011-07,3.463,
2011-10,3.574,
2012-01,3.695,
2012-04,3.619,
2012-07,3.588,
2012-10,3.523,
2013-01,3.480,
2013-04,3.506,
2013-07,3.482,
2013-10,3.393,
2014-01,3.332,
2014-04,3.489,
2014-07,3.723,
