"",BBK01.OECJ04P,BBK01.OECJ04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:33,
2002-01,0.118,
2002-04,0.157,
2002-07,0.127,
2002-10,0.137,
2003-01,0.143,
2003-04,0.170,
2003-07,0.196,
2003-10,0.427,
2004-01,0.399,
2004-04,0.414,
2004-07,0.197,
2004-10,0.407,
2005-01,0.270,
2005-04,0.164,
2005-07,0.148,
2005-10,0.212,
2006-01,0.140,
2006-04,0.097,
2006-07,0.107,
2006-10,0.106,
2007-01,0.119,
2007-04,0.128,
2007-07,0.195,
2007-10,0.325,
2008-01,0.232,
2008-04,0.183,
2008-07,0.168,
2008-10,0.162,
2009-01,0.127,
2009-04,0.115,
2009-07,0.085,
2009-10,0.086,
2010-01,0.117,
2010-04,0.172,
2010-07,0.128,
2010-10,0.182,
2011-01,0.082,
2011-04,0.115,
2011-07,0.157,
2011-10,0.143,
2012-01,0.135,
2012-04,0.126,
2012-07,0.242,
2012-10,0.234,
2013-01,0.174,
2013-04,0.076,
2013-07,0.071,
2013-10,0.062,
2014-01,0.052,
2014-04,0.165,
2014-07,0.124,
