"",BBFB1.Q.N.DE.S1.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.S1.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Asia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:45,
1991-01,3211.107,
1991-04,-1723.614,
1991-07,-829.872,
1991-10,2927.613,
1992-01,212.592,
1992-04,1525.639,
1992-07,-1733.402,
1992-10,2980.970,
1993-01,2363.359,
1993-04,1659.902,
1993-07,-1775.695,
1993-10,4234.442,
1994-01,-1948.300,
1994-04,-1222.055,
1994-07,2965.272,
1994-10,-301.585,
1995-01,2520.250,
1995-04,3712.617,
1995-07,7763.969,
1995-10,2459.100,
1996-01,5079.488,
1996-04,4812.134,
1996-07,-1008.623,
1996-10,-922.769,
1997-01,4191.188,
1997-04,1100.754,
1997-07,-4944.337,
1997-10,3855.249,
1998-01,-7194.120,
1998-04,-620.527,
1998-07,-3279.048,
1998-10,7105.191,
1999-01,-10734.705,
1999-04,-36.688,
1999-07,1591.787,
1999-10,2598.241,
2000-01,439.789,
2000-04,1179.472,
2000-07,3118.080,
2000-10,-774.018,
2001-01,1103.283,
2001-04,-2636.816,
2001-07,-1467.001,
2001-10,6302.356,
2002-01,4107.833,
2002-04,-2669.534,
2002-07,3650.887,
2002-10,5188.039,
2003-01,-4228.822,
2003-04,13322.307,
2003-07,-1732.823,
2003-10,-7678.694,
2004-01,6622.617,
2004-04,1117.684,
2004-07,-2729.756,
2004-10,1629.844,
2005-01,-7537.186,
2005-04,10525.670,
2005-07,-1253.091,
2005-10,-3910.949,
2006-01,-3392.751,
2006-04,6154.671,
2006-07,315.611,
2006-10,-4219.972,
2007-01,3953.794,
2007-04,4783.536,
2007-07,7998.668,
2007-10,3119.280,
2008-01,8450.737,
2008-04,8703.995,
2008-07,10137.247,
2008-10,-14789.102,
2009-01,-10838.172,
2009-04,-2416.161,
2009-07,582.989,
2009-10,-1819.062,
2010-01,8.571,
2010-04,2283.786,
2010-07,5744.483,
2010-10,-1690.233,
2011-01,-4450.377,
2011-04,-299.459,
2011-07,-7755.972,
2011-10,641.845,
2012-01,-3209.293,
2012-04,-335.289,
2012-07,-4383.344,
2012-10,-4668.569,
2013-01,7396.223,
2013-04,1788.197,
2013-07,-2388.492,
2013-10,6999.685,
2014-01,3492.846,Provisional value
2014-04,6701.015,Provisional value
2014-07,-679.939,Provisional value
2014-10,-15463.331,Provisional value
