"",BBK01.OEAH85N,BBK01.OEAH85N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:42,
2002-01,32.606,
2002-04,32.639,
2002-07,34.001,
2002-10,32.551,
2003-01,31.212,
2003-04,29.932,
2003-07,29.379,
2003-10,29.474,
2004-01,28.733,
2004-04,27.225,
2004-07,26.799,
2004-10,21.788,
2005-01,25.751,
2005-04,25.862,
2005-07,24.225,
2005-10,23.147,
2006-01,22.537,
2006-04,25.081,
2006-07,27.694,
2006-10,28.064,
2007-01,24.302,
2007-04,22.271,
2007-07,27.967,
2007-10,28.988,
2008-01,33.296,
2008-04,37.015,
2008-07,34.891,
2008-10,40.316,
2009-01,38.435,
2009-04,31.919,
2009-07,37.362,
2009-10,37.310,
2010-01,44.731,
2010-04,46.643,
2010-07,37.529,
2010-10,39.398,
2011-01,35.107,
2011-04,31.650,
2011-07,32.465,
2011-10,30.225,
2012-01,32.634,
2012-04,27.258,
2012-07,26.395,
2012-10,24.518,
2013-01,24.303,
2013-04,23.653,
2013-07,23.149,
2013-10,21.610,
2014-01,23.916,
2014-04,23.535,
2014-07,21.783,
