"",BBK01.CEF4C0,BBK01.CEF4C0_FLAGS
"",Loans                                                           debtor: General government                        creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:46,
1999-01,503.7,
1999-04,503.6,
1999-07,498.5,
1999-10,500.5,
2000-01,519.3,
2000-04,513.3,
2000-07,518.6,
2000-10,490.1,
2001-01,498.5,
2001-04,485.6,
2001-07,483.5,
2001-10,480.6,
2002-01,491.7,
2002-04,470.9,
2002-07,465.8,
2002-10,469.8,
2003-01,472.2,
2003-04,475.4,
2003-07,488.2,
2003-10,486.3,
2004-01,497.1,
2004-04,489.7,
2004-07,491.3,
2004-10,485.9,
2005-01,496.7,
2005-04,488.9,
2005-07,494.8,
2005-10,485.3,
2006-01,492.9,
2006-04,485.2,
2006-07,491.2,
2006-10,479.8,
2007-01,484.8,
2007-04,485.0,
2007-07,476.0,
2007-10,457.3,
2008-01,479.5,
2008-04,485.7,
2008-07,469.8,
2008-10,480.2,
2009-01,473.6,
2009-04,474.0,
2009-07,482.4,
2009-10,479.2,
2010-01,475.6,
2010-04,499.4,
2010-07,502.8,
2010-10,674.0,
2011-01,657.0,
2011-04,634.9,
2011-07,635.5,
2011-10,636.1,
2012-01,633.1,
2012-04,652.5,
2012-07,637.9,
2012-10,627.3,
2013-01,614.3,
2013-04,616.4,
2013-07,598.6,
2013-10,606.2,
2014-01,586.3,
2014-04,584.5,
2014-07,580.0,
