"",BBEX3.M.ARS.EUR.CA.AC.A01,BBEX3.M.ARS.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Argentina / EUR 1 = ARS ... (middle),
unit,ARS (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:43,
2002-02,1.82375,
2002-03,2.57550,
2002-04,2.63715,
2002-05,3.30205,
2002-06,3.71340,
2002-07,3.57135,
2002-08,3.51255,
2002-09,3.64185,
2002-10,3.43330,
2002-11,3.56685,
2002-12,3.48635,
2003-01,3.39020,
2003-02,3.38665,
2003-03,3.16045,
2003-04,3.09175,
2003-05,3.29965,
2003-06,3.15685,
2003-07,3.22290,
2003-08,3.18745,
2003-09,3.33670,
2003-10,3.26330,
2003-11,3.52520,
2003-12,3.65200,
2004-01,3.62380,
2004-02,3.62020,
2004-03,3.49135,
2004-04,3.37850,
2004-05,3.58340,
2004-06,3.57365,
2004-07,3.55600,
2004-08,3.62580,
2004-09,3.68010,
2004-10,3.77320,
2004-11,3.88340,
2004-12,4.03180,
2005-01,3.78985,
2005-02,3.86705,
2005-03,3.75785,
2005-04,3.71815,
2005-05,3.52365,
2005-06,3.46405,
2005-07,3.44740,
2005-08,3.56650,
2005-09,3.47390,
2005-10,3.57585,
2005-11,3.47110,
2005-12,3.56305,
2006-01,3.71020,
2006-02,3.64170,
2006-03,3.71190,
2006-04,3.82510,
2006-05,3.93315,
2006-06,3.91730,
2006-07,3.89820,
2006-08,3.93535,
2006-09,3.91160,
2006-10,3.92235,
2006-11,4.04025,
2006-12,4.01255,
2007-01,4.01510,
2007-02,4.07315,
2007-03,4.11840,
2007-04,4.19375,
2007-05,4.11025,
2007-06,4.15700,
2007-07,4.24480,
2007-08,4.27420,
2007-09,4.46415,
2007-10,4.51580,
2007-11,4.59295,
2007-12,4.60195,
2008-01,4.65005,
2008-02,4.77295,
2008-03,4.97715,
2008-04,4.89315,
2008-05,4.79015,
2008-06,4.73275,
2008-07,4.71395,
2008-08,4.41220,
2008-09,4.38330,
2008-10,4.29335,
2008-11,4.25245,
2008-12,4.76280,
2009-01,4.44270,
2009-02,4.49210,
2009-03,4.90085,
2009-04,4.88955,
2009-05,5.26330,
2009-06,5.29595,
2009-07,5.43360,
2009-08,5.49230,
2009-09,5.59820,
2009-10,5.59915,
2009-11,5.68025,
2009-12,5.42410,
2010-01,5.29575,
2010-02,5.22390,
2010-03,5.22045,
2010-04,5.13960,
2010-05,4.80870,
2010-06,4.79350,
2010-07,5.11660,
2010-08,4.98735,
2010-09,5.36530,
2010-10,5.47655,
2010-11,5.16775,
2010-12,5.24585,
2011-01,5.46100,
2011-02,5.53040,
2011-03,5.72445,
2011-04,6.02075,
2011-05,5.85005,
2011-06,5.93520,
2011-07,5.92990,
2011-08,6.00645,
2011-09,5.62990,
2011-10,5.87980,
2011-11,5.72830,
2011-12,5.56000,
2012-01,5.64125,
2012-02,5.79140,
2012-03,5.81210,
2012-04,5.83110,
2012-05,5.50350,
2012-06,5.70525,
2012-07,5.62070,
2012-08,5.80740,
2012-09,6.01580,
2012-10,6.15535,
2012-11,6.26465,
2012-12,6.47155,
2013-01,6.73075,
2013-02,6.57880,
2013-03,6.51810,
2013-04,6.79850,
2013-05,6.82770,
2013-06,6.98190,
2013-07,7.28875,
2013-08,7.46830,
2013-09,7.81235,
2013-10,8.01225,
2013-11,8.32675,
2013-12,8.97565,
2014-01,10.71910,
2014-02,10.81085,
2014-03,10.94960,
2014-04,11.02750,
2014-05,10.95575,
2014-06,11.06935,
2014-07,10.93155,
2014-08,10.97705,
2014-09,10.58360,
2014-10,10.58920,
2014-11,10.53960,
2014-12,10.33600,
2015-01,9.70655,
"","Source: Calculated on the basis of the buying and selling rates of the Banco de la Nación Argentina, Buenos Aires.",
