"",BBK01.TUB621,BBK01.TUB621_FLAGS
"",Liabilities to euro area credit institutions related to monetary policy operations denominated in euro / Deutsche Bundesbank,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-02 10:43:06,
2002-01,46141,
2002-02,41576,
2002-03,42045,
2002-04,40126,
2002-05,44922,
2002-06,41387,
2002-07,40669,
2002-08,44287,
2002-09,40986,
2002-10,41301,
2002-11,40980,
2002-12,44838,
2003-01,40890,
2003-02,38120,
2003-03,48064,
2003-04,36355,
2003-05,36338,
2003-06,38833,
2003-07,39574,
2003-08,41034,
2003-09,41729,
2003-10,42000,
2003-11,36426,
2003-12,44598,
2004-01,39773,
2004-02,36797,
2004-03,31023,
2004-04,38315,
2004-05,43373,
2004-06,36592,
2004-07,39308,
2004-08,41373,
2004-09,40103,
2004-10,35496,
2004-11,48301,
2004-12,41314,
2005-01,40815,
2005-02,40219,
2005-03,38122,
2005-04,39791,
2005-05,41297,
2005-06,34566,
2005-07,39739,
2005-08,39027,
2005-09,38756,
2005-10,37353,
2005-11,41912,
2005-12,46314,
2006-01,45364,
2006-02,38510,
2006-03,39686,
2006-04,38757,
2006-05,51440,
2006-06,39854,
2006-07,52398,
2006-08,45983,
2006-09,46168,
2006-10,47958,
2006-11,39196,
2006-12,47956,
2007-01,37807,
2007-02,43677,
2007-03,47886,
2007-04,43271,
2007-05,45096,
2007-06,39824,
2007-07,46565,
2007-08,31770,
2007-09,46995,
2007-10,43277,
2007-11,52903,
2007-12,109513,
2008-01,42599,
2008-02,54310,
2008-03,70137,
2008-04,53354,
2008-05,50456,
2008-06,56024,
2008-07,41224,
2008-08,50591,
2008-09,111465,
2008-10,146372,
2008-11,138252,
2008-12,166938,
2009-01,127165,
2009-02,106559,
2009-03,100017,
2009-04,80020,
2009-05,87202,
2009-06,176695,
2009-07,120748,
2009-08,107437,
2009-09,109716,
2009-10,86519,
2009-11,86991,
2009-12,112163,
2010-01,106332,
2010-02,127560,
2010-03,135728,
2010-04,139088,
2010-05,192992,
2010-06,208796,
2010-07,115939,
2010-08,115305,
2010-09,121277,
2010-10,114392,
2010-11,116940,
2010-12,146431,
2011-01,109426,
2011-02,120694,
2011-03,119881,
2011-04,95945,
2011-05,94993,
2011-06,108506,
2011-07,100349,
2011-08,145480,
2011-09,205458,
2011-10,212098,
2011-11,249757,
2011-12,228873,
2012-01,294098,
2012-02,342492,
2012-03,424549,
2012-04,452275,
2012-05,464787,
2012-06,457073,
2012-07,421652,
2012-08,442491,
2012-09,385751,
2012-10,372308,
2012-11,361853,
2012-12,299962,
2013-01,260364,
2013-02,240755,
2013-03,222882,
2013-04,215498,
2013-05,198289,
2013-06,195081,
2013-07,186992,
2013-08,179226,
2013-09,173709,
2013-10,139041,
2013-11,135521,
2013-12,141459,
2014-01,123174,
2014-02,115017,
2014-03,103336,
2014-04,112599,
2014-05,103382,
2014-06,65541,
2014-07,56514,
2014-08,68846,
2014-09,85145,
2014-10,72284,
2014-11,63093,
2014-12,90196,
