"",BBK01.OELJ05O,BBK01.OELJ05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:46,
2002-01,0.801,
2002-04,0.801,
2002-07,0.823,
2002-10,0.809,
2003-01,0.799,
2003-04,0.818,
2003-07,0.870,
2003-10,0.836,
2004-01,0.823,
2004-04,0.808,
2004-07,0.786,
2004-10,0.813,
2005-01,0.826,
2005-04,0.863,
2005-07,0.817,
2005-10,0.876,
2006-01,0.882,
2006-04,0.869,
2006-07,0.961,
2006-10,0.985,
2007-01,1.001,
2007-04,0.987,
2007-07,1.003,
2007-10,0.976,
2008-01,0.993,
2008-04,0.970,
2008-07,0.950,
2008-10,0.924,
2009-01,0.903,
2009-04,0.897,
2009-07,0.914,
2009-10,0.893,
2010-01,0.874,
2010-04,0.876,
2010-07,0.812,
2010-10,0.743,
2011-01,0.728,
2011-04,0.723,
2011-07,0.656,
2011-10,0.613,
2012-01,0.586,
2012-04,0.580,
2012-07,0.575,
2012-10,0.540,
2013-01,0.498,
2013-04,0.489,
2013-07,0.444,
2013-10,0.458,
2014-01,0.571,
2014-04,0.551,
2014-07,0.559,
