"",BBK01.OEHL04Q,BBK01.OEHL04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:51,
2002-01,0.785,
2002-04,0.761,
2002-07,0.746,
2002-10,0.713,
2003-01,0.665,
2003-04,0.632,
2003-07,0.613,
2003-10,0.556,
2004-01,0.524,
2004-04,0.497,
2004-07,0.483,
2004-10,0.505,
2005-01,0.392,
2005-04,0.378,
2005-07,0.374,
2005-10,0.348,
2006-01,0.416,
2006-04,0.357,
2006-07,0.407,
2006-10,0.460,
2007-01,0.573,
2007-04,0.633,
2007-07,0.735,
2007-10,0.817,
2008-01,0.906,
2008-04,0.990,
2008-07,1.103,
2008-10,1.146,
2009-01,0.718,
2009-04,0.523,
2009-07,0.401,
2009-10,0.269,
2010-01,0.262,
2010-04,0.245,
2010-07,0.233,
2010-10,0.241,
2011-01,0.257,
2011-04,0.291,
2011-07,0.305,
2011-10,0.320,
2012-01,0.318,
2012-04,0.311,
2012-07,0.287,
2012-10,0.295,
2013-01,0.266,
2013-04,0.259,
2013-07,0.251,
2013-10,0.241,
2014-01,0.231,
2014-04,0.227,
2014-07,0.223,
