"",BBDA1.M.DE.N.IM.S.A.E1.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.E1.A.V.ABA.A_FLAGS
"","German foreign trade: imports / At current prices, flows / Aggregate / all goods / Europe / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:01,
1993-01,15482460,
1993-02,17046629,
1993-03,17718676,
1993-04,17630264,
1993-05,16544563,
1993-06,16926245,
1993-07,16765552,
1993-08,15306647,
1993-09,17001203,
1993-10,17190209,
1993-11,18053363,
1993-12,18254150,
1994-01,15486646,
1994-02,16965566,
1994-03,19865030,
1994-04,18026957,
1994-05,19235087,
1994-06,19203868,
1994-07,18442378,
1994-08,16836159,
1994-09,19438493,
1994-10,19363684,
1994-11,19822238,
1994-12,21327127,
1995-01,18543866,
1995-02,19860553,
1995-03,23053471,
1995-04,19686648,
1995-05,20944723,
1995-06,21725117,
1995-07,20336873,
1995-08,17838478,
1995-09,20770780,
1995-10,21221609,
1995-11,20814322,
1995-12,21212551,
1996-01,21375658,
1996-02,19992490,
1996-03,21783134,
1996-04,21516155,
1996-05,20551651,
1996-06,21358273,
1996-07,21899670,
1996-08,18356935,
1996-09,20663985,
1996-10,23835311,
1996-11,22277268,
1996-12,22634053,
1997-01,21600392,
1997-02,22441286,
1997-03,23116726,
1997-04,22740213,
1997-05,23320881,
1997-06,24709183,
1997-07,25181327,
1997-08,21293822,
1997-09,23513536,
1997-10,26449721,
1997-11,25122428,
1997-12,24555656,
1998-01,25087465,
1998-02,24299337,
1998-03,26026928,
1998-04,27142748,
1998-05,23790267,
1998-06,26762517,
1998-07,26978820,
1998-08,22330796,
1998-09,24030382,
1998-10,26687741,
1998-11,24965644,
1998-12,25858037,
1999-01,22746158,
1999-02,24193053,
1999-03,27297703,
1999-04,25601584,
1999-05,26893150,
1999-06,27493523,
1999-07,26590899,
1999-08,25516396,
1999-09,26127840,
1999-10,27945603,
1999-11,29642087,
1999-12,27970845,
2000-01,27199248,
2000-02,27722341,
2000-03,31943149,
2000-04,27862946,
2000-05,32978730,
2000-06,29599635,
2000-07,30724230,
2000-08,30171358,
2000-09,30759430,
2000-10,34226221,
2000-11,36490332,
2000-12,33854493,
2001-01,31542722,
2001-02,31645351,
2001-03,32516878,
2001-04,33300801,
2001-05,33115647,
2001-06,32885159,
2001-07,32769486,
2001-08,29563752,
2001-09,30663468,
2001-10,34031074,
2001-11,34011867,
2001-12,28854435,
2002-01,28229578,
2002-02,29998811,
2002-03,30113110,
2002-04,32599651,
2002-05,28965179,
2002-06,32924943,
2002-07,30950720,
2002-08,29082957,
2002-09,31472198,
2002-10,33787687,
2002-11,33452470,
2002-12,31377670,
2003-01,30735552,
2003-02,31630712,
2003-03,33543913,
2003-04,31921202,
2003-05,32446923,
2003-06,31631740,
2003-07,31897173,
2003-08,28043861,
2003-09,31688467,
2003-10,33980662,
2003-11,35532409,
2003-12,31886663,
2004-01,30583313,
2004-02,32235371,
2004-03,35005440,
2004-04,33651424,
2004-05,32985386,
2004-06,33968791,
2004-07,34560585,
2004-08,31253957,
2004-09,34964433,
2004-10,35921513,
2004-11,38853817,
2004-12,34713500,
2005-01,33300936,
2005-02,33375697,
2005-03,35467989,
2005-04,37045444,
2005-05,37034658,
2005-06,37164440,
2005-07,35922969,
2005-08,35367040,
2005-09,38114526,
2005-10,39748244,
2005-11,41213249,
2005-12,39752630,
2006-01,38511707,
2006-02,39850753,
2006-03,44070366,
2006-04,41638909,
2006-05,42375039,
2006-06,43139930,
2006-07,41999066,
2006-08,39811721,
2006-09,44583865,
2006-10,46223376,
2006-11,46748793,
2006-12,43614391,
2007-01,41928243,
2007-02,43632596,
2007-03,46432216,
2007-04,45388798,
2007-05,43679197,
2007-06,46821848,
2007-07,44973511,
2007-08,43138798,
2007-09,44259260,
2007-10,49121788,
2007-11,48617818,
2007-12,43656331,
2008-01,46200683,
2008-02,47654723,
2008-03,47086313,
2008-04,50010133,
2008-05,46852342,
2008-06,48456902,
2008-07,51207663,
2008-08,43775490,
2008-09,50154603,
2008-10,50354584,
2008-11,45505497,
2008-12,39802954,
2009-01,38003289,
2009-02,37965106,
2009-03,41961367,
2009-04,38342315,
2009-05,35730290,
2009-06,37787756,
2009-07,38340857,
2009-08,35086579,
2009-09,41137506,
2009-10,42503588,
2009-11,38750087,
2009-12,38112064,
2010-01,37353177,
2010-02,40125190,
2010-03,47500552,
2010-04,42677723,
2010-05,45596186,
2010-06,48343300,
2010-07,46479374,
2010-08,42246057,
2010-09,46241193,
2010-10,49162940,
2010-11,48777837,
2010-12,47216252,
2011-01,46284362,
2011-02,49866321,
2011-03,56258592,
2011-04,50887234,
2011-05,53852897,
2011-06,52499229,
2011-07,51887953,
2011-08,48901667,
2011-09,54109574,
2011-10,53601076,
2011-11,53991444,
2011-12,50729719,
2012-01,49690543,
2012-02,52989302,
2012-03,57498070,
2012-04,51322513,
2012-05,54188487,
2012-06,53029854,
2012-07,53094266,
2012-08,48724310,
2012-09,51812789,
2012-10,57714145,
2012-11,53611285,
2012-12,45629421,
2013-01,50987852,
2013-02,50745076,
2013-03,54328900,
2013-04,53696028,
2013-05,53305287,
2013-06,53855115,
2013-07,53669942,
2013-08,49461456,
2013-09,52337838,
2013-10,57704104,
2013-11,54763466,
2013-12,48850483,
2014-01,52965488,
2014-02,55008683,
2014-03,56758454,
2014-04,55202130,
2014-05,53153936,
2014-06,55052275,
2014-07,54701466,
2014-08,47543604,
2014-09,56149888,
2014-10,57820876,
2014-11,56106380,
2014-12,50018841,
