"",BBK01.OEXB16O,BBK01.OEXB16O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:14,
2002-01,-0.434,
2002-04,-0.445,
2002-07,-0.485,
2002-10,-0.710,
2003-01,-0.694,
2003-04,-0.744,
2003-07,-0.773,
2003-10,-0.821,
2004-01,-0.836,
2004-04,-0.893,
2004-07,-0.869,
2004-10,-0.886,
2005-01,0.259,
2005-04,0.261,
2005-07,0.262,
2005-10,0.265,
2006-01,0.264,
2006-04,0.259,
2006-07,0.255,
2006-10,0.256,
2007-01,0.253,
2007-04,0.253,
2007-07,0.248,
2007-10,0.245,
2008-01,0.243,
2008-04,0.247,
2008-07,0.245,
2008-10,0.237,
2009-01,0.237,
2009-04,0.240,
2009-07,0.242,
2009-10,0.241,
2010-01,0.243,
2010-04,0.242,
2010-07,0.318,
2010-10,0.309,
2011-01,0.240,
2011-04,0.240,
2011-07,0.239,
2011-10,0.238,
2012-01,0.241,
2012-04,0.241,
2012-07,0.241,
2012-10,0.245,
2013-01,0.249,
2013-04,0.252,
2013-07,0.257,
2013-10,0.259,
2014-01,0.254,
2014-04,0.249,
2014-07,0.249,
