"",BBK01.CEH502,BBK01.CEH502_FLAGS
"",Shares and other equity debtor: All sectors                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:10,
1991-01,4.5,
1991-04,2.8,
1991-07,2.9,
1991-10,11.0,
1992-01,13.7,
1992-04,-0.1,
1992-07,9.5,
1992-10,13.0,
1993-01,13.9,
1993-04,-5.6,
1993-07,13.4,
1993-10,19.5,
1994-01,20.3,
1994-04,5.8,
1994-07,5.1,
1994-10,11.4,
1995-01,17.1,
1995-04,3.4,
1995-07,5.3,
1995-10,18.8,
1996-01,22.6,
1996-04,2.0,
1996-07,5.0,
1996-10,29.7,
1997-01,37.1,
1997-04,10.2,
1997-07,15.1,
1997-10,38.4,
1998-01,51.5,
1998-04,21.5,
1998-07,15.8,
1998-10,51.0,
1999-01,45.8,
1999-04,12.1,
1999-07,11.9,
1999-10,63.2,
2000-01,64.0,
2000-04,-11.7,
2000-07,29.8,
2000-10,63.8,
2001-01,62.9,
2001-04,-16.5,
2001-07,-9.3,
2001-10,61.0,
2002-01,17.0,
2002-04,13.1,
2002-07,18.8,
2002-10,19.3,
2003-01,-12.8,
2003-04,19.8,
2003-07,-12.1,
2003-10,15.9,
2004-01,13.3,
2004-04,-18.4,
2004-07,-20.1,
2004-10,28.7,
2005-01,13.3,
2005-04,9.3,
2005-07,22.3,
2005-10,44.9,
2006-01,41.2,
2006-04,13.8,
2006-07,31.0,
2006-10,54.7,
2007-01,-24.7,
2007-04,1.9,
2007-07,-19.0,
2007-10,45.0,
2008-01,-2.1,
2008-04,-14.4,
2008-07,2.1,
2008-10,-13.0,
2009-01,34.2,
2009-04,-8.8,
2009-07,6.1,
2009-10,16.3,
2010-01,25.6,
2010-04,23.0,
2010-07,10.7,
2010-10,32.8,
2011-01,28.3,
2011-04,15.7,
2011-07,-25.6,
2011-10,21.9,
2012-01,24.9,
2012-04,-2.8,
2012-07,19.4,
2012-10,69.7,
2013-01,36.1,
2013-04,1.5,
2013-07,25.8,
2013-10,24.2,
2014-01,37.1,
