"",BBK01.OELB09V,BBK01.OELB09V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:53,
2002-01,1.164,
2002-04,1.195,
2002-07,1.177,
2002-10,1.160,
2003-01,1.163,
2003-04,1.150,
2003-07,1.140,
2003-10,1.087,
2004-01,1.071,
2004-04,1.057,
2004-07,1.062,
2004-10,1.047,
2005-01,1.020,
2005-04,1.018,
2005-07,1.031,
2005-10,1.016,
2006-01,1.034,
2006-04,1.059,
2006-07,1.066,
2006-10,1.012,
2007-01,1.016,
2007-04,1.033,
2007-07,1.070,
2007-10,1.080,
2008-01,1.101,
2008-04,1.145,
2008-07,1.194,
2008-10,1.198,
2009-01,1.210,
2009-04,1.225,
2009-07,1.241,
2009-10,1.243,
2010-01,1.304,
2010-04,1.276,
2010-07,1.333,
2010-10,1.306,
2011-01,1.337,
2011-04,1.416,
2011-07,1.492,
2011-10,1.517,
2012-01,1.574,
2012-04,1.654,
2012-07,1.755,
2012-10,1.836,
2013-01,1.859,
2013-04,1.941,
2013-07,2.026,
2013-10,2.050,
2014-01,2.120,
2014-04,2.189,
2014-07,2.356,
