"",BBSF2.M.1.S.00000.DAC01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.S.00000.DAC01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Special investors funds / Funds-of-funds / Securities total / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:33,
2009-09,17311,
2009-10,17815,
2009-11,19309,
2009-12,20196,
2010-01,20321,
2010-02,20541,
2010-03,21251,
2010-04,21625,
2010-05,21482,
2010-06,21464,
2010-07,22092,
2010-08,25738,
2010-09,26954,
2010-10,27566,
2010-11,28161,
2010-12,28569,
2011-01,28407,
2011-02,29204,
2011-03,29172,
2011-04,29758,
2011-05,29838,
2011-06,29899,
2011-07,30253,
2011-08,29634,
2011-09,29741,
2011-10,30801,
2011-11,30323,
2011-12,31357,
2012-01,32317,
2012-02,32786,
2012-03,32931,
2012-04,33569,
2012-05,33438,
2012-06,33934,
2012-07,43631,
2012-08,43341,
2012-09,43638,
2012-10,44354,
2012-11,44564,
2012-12,45043,
2013-01,45846,
2013-02,46421,
2013-03,46977,
2013-04,48047,
2013-05,48274,
2013-06,46962,
2013-07,47303,
2013-08,46939,
2013-09,47285,
2013-10,48732,
2013-11,48943,
2013-12,49117,
2014-01,49475,
2014-02,50308,
2014-03,51258,
2014-04,51729,
2014-05,52786,
2014-06,53425,
2014-07,53898,
2014-08,54666,
2014-09,54895,
2014-10,55065,
2014-11,56048,
