"",BBK01.OEHJ01R,BBK01.OEHJ01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:16,
2002-01,0.618,
2002-04,0.630,
2002-07,0.670,
2002-10,0.683,
2003-01,0.625,
2003-04,0.630,
2003-07,0.669,
2003-10,0.695,
2004-01,0.603,
2004-04,0.624,
2004-07,0.641,
2004-10,0.717,
2005-01,0.624,
2005-04,0.687,
2005-07,0.737,
2005-10,0.730,
2006-01,0.676,
2006-04,0.693,
2006-07,0.732,
2006-10,0.767,
2007-01,0.741,
2007-04,0.747,
2007-07,0.772,
2007-10,0.779,
2008-01,0.743,
2008-04,0.720,
2008-07,0.780,
2008-10,0.819,
2009-01,0.746,
2009-04,0.742,
2009-07,0.812,
2009-10,0.844,
2010-01,0.777,
2010-04,0.783,
2010-07,0.824,
2010-10,0.827,
2011-01,0.772,
2011-04,0.815,
2011-07,0.880,
2011-10,0.861,
2012-01,0.806,
2012-04,0.813,
2012-07,0.849,
2012-10,0.879,
2013-01,0.802,
2013-04,0.830,
2013-07,0.897,
2013-10,0.911,
2014-01,0.865,
2014-04,0.872,
2014-07,1.003,
