"",BBFN1.M.DE.N.1.A.TN.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.TN.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Tunisia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:20:57,
1995-01,0.037,
1995-02,0.037,
1995-03,0.035,
1995-04,0.038,
1995-05,0.036,
1995-06,0.037,
1995-07,0.038,
1995-08,0.039,
1995-09,0.039,
1995-10,0.046,
1995-11,0.040,
1995-12,0.032,
1996-01,0.031,
1996-02,0.031,
1996-03,0.028,
1996-04,0.033,
1996-05,0.031,
1996-06,0.032,
1996-07,0.031,
1996-08,0.032,
1996-09,0.030,
1996-10,0.032,
1996-11,0.020,
1996-12,0.018,
1997-01,0.020,
1997-02,0.019,
1997-03,0.021,
1997-04,0.022,
1997-05,0.020,
1997-06,0.021,
1997-07,0.022,
1997-08,0.022,
1997-09,0.021,
1997-10,0.020,
1997-11,0.019,
1997-12,0.021,
1998-01,0.017,
1998-02,0.017,
1998-03,0.020,
1998-04,0.022,
1998-05,0.024,
1998-06,0.024,
1998-07,0.022,
1998-08,0.027,
1998-09,0.027,
1998-10,0.031,
1998-11,0.029,
1998-12,0.026,
1999-01,0.026,
1999-02,0.023,
1999-03,0.024,
1999-04,0.029,
1999-05,0.026,
1999-06,0.030,
1999-07,0.029,
1999-08,0.029,
1999-09,0.027,
1999-10,0.028,
1999-11,0.025,
1999-12,0.027,
2000-01,0.021,
2000-02,0.022,
2000-03,0.025,
2000-04,0.031,
2000-05,0.034,
2000-06,0.034,
2000-07,0.034,
2000-08,0.034,
2000-09,0.027,
2000-10,0.036,
2000-11,0.037,
2000-12,0.034,
2001-01,0.036,
2001-02,0.028,
2001-03,0.031,
2001-04,0.035,
2001-05,0.034,
2001-06,0.032,
2001-07,0.032,
2001-08,0.033,
2001-09,0.032,
2001-10,0.031,
2001-11,0.031,
2001-12,0.031,
2002-01,0.048,
2002-02,0.048,
2002-03,0.043,
2002-04,0.043,
2002-05,0.042,
2002-06,0.041,
2002-07,0.040,
2002-08,0.040,
2002-09,0.045,
2002-10,0.044,
2002-11,0.045,
2002-12,0.043,
2003-01,0.042,
2003-02,0.038,
2003-03,0.037,
2003-04,0.041,
2003-05,0.044,
2003-06,0.049,
2003-07,0.046,
2003-08,0.052,
2003-09,0.045,
2003-10,0.048,
2003-11,0.046,
2003-12,0.045,
2004-01,0.043,
2004-02,0.044,
2004-03,0.042,
2004-04,0.048,
2004-05,0.050,
2004-06,0.050,
2004-07,0.054,
2004-08,0.053,
2004-09,0.059,
2004-10,0.056,
2004-11,0.058,
2004-12,0.059,
2005-01,0.051,
2005-02,0.050,
2005-03,0.049,
2005-04,0.049,
2005-05,0.050,
2005-06,0.051,
2005-07,0.050,
2005-08,0.048,
2005-09,0.049,
2005-10,0.048,
2005-11,0.049,
2005-12,0.050,
2006-01,0.046,
2006-02,0.048,
2006-03,0.050,
2006-04,0.048,
2006-05,0.052,
2006-06,0.045,
2006-07,0.044,
2006-08,0.040,
2006-09,0.040,
2006-10,0.042,
2006-11,0.041,
2006-12,0.041,
2007-01,0.029,
2007-02,0.026,
2007-03,0.030,
2007-04,0.030,
2007-05,0.035,
2007-06,0.035,
2007-07,0.039,
2007-08,0.036,
2007-09,0.036,
2007-10,0.032,
2007-11,0.030,
2007-12,0.032,
2008-01,0.028,
2008-02,0.029,
2008-03,0.040,
2008-04,0.050,
2008-05,0.054,
2008-06,0.053,
2008-07,0.049,
2008-08,0.037,
2008-09,0.042,
2008-10,0.040,
2008-11,0.044,
2008-12,0.047,
2009-01,0.049,
2009-02,0.059,
2009-03,0.051,
2009-04,0.058,
2009-05,0.045,
2009-06,0.061,
2009-07,0.066,
2009-08,0.064,
2009-09,0.065,
2009-10,0.061,
2009-11,0.058,
2009-12,0.053,
2010-01,0.053,
2010-02,0.052,
2010-03,0.056,
2010-04,0.057,
2010-05,0.053,
2010-06,0.068,
2010-07,0.059,
2010-08,0.060,
2010-09,0.061,
2010-10,0.059,
2010-11,0.064,
2010-12,0.058,
2011-01,0.064,
2011-02,0.060,
2011-03,0.053,
2011-04,0.060,
2011-05,0.060,
2011-06,0.060,
2011-07,0.057,
2011-08,0.055,
2011-09,0.053,
2011-10,0.082,
2011-11,0.104,
2011-12,0.098,
2012-01,0.104,
2012-02,0.109,
2012-03,0.098,
2012-04,0.074,
2012-05,0.078,
2012-06,0.072,
2012-07,0.078,
2012-08,0.065,
2012-09,0.070,
2012-10,0.080,
2012-11,0.078,
2012-12,0.055,
2013-01,0.061,
2013-02,0.053,
2013-03,0.049,
2013-04,0.055,
2013-05,0.064,
2013-06,0.065,
2013-07,0.062,
2013-08,0.067,
2013-09,0.058,
2013-10,0.060,
2013-11,0.061,
2013-12,0.057,
2014-01,0.056,
2014-02,0.057,
2014-03,0.054,
2014-04,0.055,
2014-05,0.065,
2014-06,0.058,
2014-07,0.058,
2014-08,0.060,
2014-09,0.051,
2014-10,0.052,
2014-11,0.050,
2014-12,0.049,
