"",BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.P.F52._Z._T.M.N,BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.P.F52._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Investmentfondsanteile / Net / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:57:44,
1991-01,1253.497,
1991-04,1491.948,
1991-07,2887.033,
1991-10,795.534,
1992-01,4020.749,
1992-04,4097.892,
1992-07,7951.070,
1992-10,15139.095,
1993-01,13098.359,
1993-04,7451.247,
1993-07,4185.917,
1993-10,-15231.588,
1994-01,2190.616,
1994-04,117.036,
1994-07,4304.569,
1994-10,4677.727,
1995-01,-1486.672,
1995-04,151.245,
1995-07,-9.111,
1995-10,1945.253,
1996-01,1716.654,
1996-04,617.417,
1996-07,52.390,
1996-10,-200.988,
1997-01,53.148,
1997-04,861.971,
1997-07,3173.692,
1997-10,-581.172,
1998-01,3082.729,
1998-04,3532.094,
1998-07,1523.723,
1998-10,1009.720,
1999-01,3574.244,
1999-04,2181.948,
1999-07,2614.836,
1999-10,5714.880,
2000-01,14801.195,
2000-04,7183.374,
2000-07,6599.205,
2000-10,4278.217,
2001-01,6209.580,
2001-04,4891.093,
2001-07,3948.947,
2001-10,5216.213,
2002-01,5015.762,
2002-04,1296.338,
2002-07,1494.760,
2002-10,-718.857,
2003-01,3288.405,
2003-04,314.358,
2003-07,-344.297,
2003-10,552.738,
2004-01,7124.409,
2004-04,2936.053,
2004-07,3174.615,
2004-10,-252.513,
2005-01,16496.192,
2005-04,8434.576,
2005-07,12660.192,
2005-10,5957.340,
2006-01,19771.660,
2006-04,-1614.053,
2006-07,2132.905,
2006-10,7438.275,
2007-01,12967.245,
2007-04,16982.503,
2007-07,2197.130,
2007-10,10195.664,
2008-01,13515.852,
2008-04,6794.958,
2008-07,2564.336,
2008-10,-12364.875,
2009-01,1378.072,
2009-04,5901.666,
2009-07,7001.006,
2009-10,-8098.427,
2010-01,7902.458,
2010-04,12.260,
2010-07,8225.763,
2010-10,5143.251,
2011-01,3206.637,
2011-04,1161.889,
2011-07,-3063.039,
2011-10,-28.946,
2012-01,6295.782,
2012-04,-3583.770,
2012-07,7342.798,
2012-10,11641.636,
2013-01,11185.934,
2013-04,4098.927,
2013-07,7695.540,
2013-10,8340.292,
2014-01,9685.789,
2014-04,8649.430,
2014-07,12805.573,
