"",BBEX3.M.SBD.EUR.CM.AB.A01,BBEX3.M.SBD.EUR.CM.AB.A01_FLAGS
"",Exchange rates for the euro in the Solomon Islands / SBD 1 = EUR ... (selling),
unit,EUR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:35,
1999-01,0.17720,
1999-02,0.17033,
1999-03,0.19321,
1999-04,0.19249,
1999-05,0.19717,
1999-06,0.19890,
1999-07,0.18850,
1999-08,0.19290,
1999-09,0.18530,
1999-10,0.18710,
1999-11,0.19500,
1999-12,0.19520,
2000-01,0.20050,
2000-02,0.20280,
2000-03,0.20450,
2000-04,0.21520,
2000-05,0.20980,
2000-06,0.20520,
2000-07,0.21110,
2000-08,0.21900,
2000-09,0.22150,
2000-10,0.23170,
2000-11,0.22750,
2000-12,0.21400,
2001-01,0.21070,
2001-02,0.21270,
2001-03,0.21810,
2001-04,0.21370,
2001-05,0.22120,
2001-06,0.22230,
2001-07,0.21510,
2001-08,0.20610,
2001-09,0.20200,
2001-10,0.20250,
2001-11,0.20490,
2001-12,0.20280,
2002-01,0.19710,
2002-02,0.19060,
2002-03,0.14840,comment
2002-04,0.17400,
2002-05,0.16290,
2002-06,0.14030,
2002-07,0.13910,
2002-08,0.13790,
2002-09,0.13740,
2002-10,0.13540,
2002-11,0.13430,
2002-12,0.12740,
2003-01,0.12360,
2003-02,0.12340,
2003-03,0.12270,
2003-04,0.11990,
2003-05,0.11200,
2003-06,0.11550,
2003-07,0.11590,
2003-08,0.12090,
2003-09,0.11430,
2003-10,0.11300,
2003-11,0.11090,
2003-12,0.10570,
2004-01,0.10680,
2004-02,0.10660,
2004-03,0.10880,
2004-04,0.11100,
2004-05,0.10830,
2004-06,0.10970,
2004-07,0.11000,
2004-08,0.10870,
2004-09,0.10560,
2004-10,0.10240,
2004-11,0.09830,
2004-12,0.09570,
2005-01,0.09990,
2005-02,0.09840,
2005-03,0.10060,
2005-04,0.10090,
2005-05,0.10420,
2005-06,0.10780,
2005-07,0.10720,
2005-08,0.10630,
2005-09,0.10750,
2005-10,0.10690,
2005-11,0.10950,
2005-12,0.10900,
2006-01,0.10600,
2006-02,0.10870,
2006-03,0.10580,
2006-04,0.10260,
2006-05,0.09990,
2006-06,0.10160,
2006-07,0.10080,
2006-08,0.10000,
2006-09,0.10100,
2006-10,0.10060,
2006-11,0.09720,
2006-12,0.09730,
2007-01,0.09870,
2007-02,0.09650,
2007-03,0.09600,
2007-04,0.09370,
2007-05,0.09510,
2007-06,0.09510,
2007-07,0.09320,
2007-08,0.09360,
2007-09,0.09000,
2007-10,0.08820,
2007-11,0.08630,
2007-12,0.08660,
2008-01,0.08570,
2008-02,0.08380,
2008-03,0.08070,
2008-04,0.08180,
2008-05,0.08130,
2008-06,0.08080,
2008-07,0.08170,
2008-08,0.08580,
2008-09,0.08670,
2008-10,0.09520,
2008-11,0.09400,
2008-12,0.08630,
2009-01,0.09390,
2009-02,0.09510,
2009-03,0.09180,
2009-04,0.09130,
2009-05,0.08690,
2009-06,0.08590,
2009-07,0.08620,
2009-08,0.08460,
2009-09,0.08310,
2009-10,0.08170,
2009-11,0.08070,
2009-12,0.08440,
2010-01,0.08600,
2010-02,0.08940,
2010-03,0.08980,
2010-04,0.09140,
2010-05,0.09870,
2010-06,0.09650,
2010-07,0.09260,
2010-08,0.09560,
2010-09,0.08890,
2010-10,0.08690,
2010-11,0.09220,
2010-12,0.09170,
2011-01,0.08860,
2011-02,0.08900,
2011-03,0.08690,
2011-04,0.08350,
2011-05,0.08730,
2011-06,0.09130,
2011-07,0.09210,
2011-08,0.09210,
2011-09,0.09760,
2011-10,0.09420,
2011-11,0.10030,
2011-12,0.10300,
2012-01,0.10170,
2012-02,0.09940,
2012-03,0.10040,
2012-04,0.10080,
2012-05,0.10780,
2012-06,0.10720,
2012-07,0.10880,
2012-08,0.10670,
2012-09,0.10340,
2012-10,0.10250,
2012-11,0.10280,
2012-12,0.10110,
2013-01,0.09850,
2013-02,0.10260,
2013-03,0.10500,
2013-04,0.10280,
2013-05,0.10330,
2013-06,0.10340,comment
"","Source: November 2011 - June 2013 Bank South Pacific, Honiara  August 2004 - October 2011 Westpac Banking Corporation, Honiara  1999 - July 2004 Central Bank of Solomon Islands, Honiara",
"","Comment on 2002-03: On 26 March 2002, the Solomon Islands dollar was devalued by just over 20%. However, this decision was reversed on 3 April and the exchange rate for the Solomon Islands dollar was returned to its previous level.",
"",Comment on 2013-06: Only middle rates have been available since July 2013; see BBEX2:M:SBD:EUR:CA:AC:A01.,
