"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.CY.00000.F05100.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.CY.00000.F05100.Z01.00_FLAGS
"",Public funds / Funds total / Shares / Cyprus,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:10,
2009-09,20,
2009-10,20,
2009-11,16,
2009-12,17,
2010-01,17,
2010-02,16,
2010-03,14,
2010-04,10,
2010-05,7,
2010-06,5,
2010-07,5,
2010-08,5,
2010-09,5,
2010-10,6,
2010-11,6,
2010-12,5,
2011-01,6,
2011-02,5,
2011-03,7,
2011-04,6,
2011-05,4,
2011-06,3,
2011-07,2,
2011-08,2,
2011-09,1,
2011-10,2,
2011-11,1,
2011-12,1,
2012-01,1,
2012-02,2,
2012-03,2,
2012-04,2,
2012-05,1,
2012-06,1,
2012-07,1,
2012-08,1,
2012-09,1,
2012-10,1,
2012-11,1,
2012-12,1,
2013-01,1,
2013-02,1,
2013-03,1,
2013-04,0,
2013-05,2,
2013-06,1,
2013-07,1,
2013-08,2,
2013-09,1,
2013-10,0,
2013-11,2,
2013-12,2,
2014-01,0,
2014-02,0,
2014-03,1,
2014-04,1,
2014-05,1,
2014-06,1,
2014-07,1,
2014-08,1,
2014-09,1,
2014-10,1,
2014-11,1,
