"",BBK01.OELK01I,BBK01.OELK01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:10,
2002-01,0.904,
2002-04,0.898,
2002-07,0.882,
2002-10,0.917,
2003-01,0.877,
2003-04,0.883,
2003-07,0.916,
2003-10,0.997,
2004-01,0.986,
2004-04,0.981,
2004-07,1.009,
2004-10,1.013,
2005-01,1.054,
2005-04,1.093,
2005-07,1.227,
2005-10,1.284,
2006-01,1.225,
2006-04,1.302,
2006-07,1.328,
2006-10,1.296,
2007-01,1.152,
2007-04,1.187,
2007-07,1.228,
2007-10,1.245,
2008-01,1.179,
2008-04,1.177,
2008-07,1.182,
2008-10,1.259,
2009-01,1.222,
2009-04,1.257,
2009-07,1.329,
2009-10,1.367,
2010-01,1.341,
2010-04,1.397,
2010-07,1.411,
2010-10,1.448,
2011-01,1.352,
2011-04,1.392,
2011-07,1.399,
2011-10,1.517,
2012-01,1.440,
2012-04,1.513,
2012-07,1.514,
2012-10,1.504,
2013-01,1.492,
2013-04,1.525,
2013-07,1.525,
2013-10,1.618,
2014-01,1.563,
2014-04,1.624,
2014-07,1.639,
