"",BBFB1.M.N.DE.W1.S1.S1.T.AI.FA.P.F.S._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.AI.FA.P.F.S._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Short-term debt-securities / Purchases / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:54,
1991-01,734.617,
1991-02,313.297,
1991-03,376.107,
1991-04,568.908,
1991-05,329.540,
1991-06,201.902,
1991-07,285.437,
1991-08,234.564,
1991-09,225.867,
1991-10,449.358,
1991-11,448.373,
1991-12,461.544,
1992-01,579.411,
1992-02,348.824,
1992-03,364.217,
1992-04,383.232,
1992-05,21.832,
1992-06,349.497,
1992-07,771.535,
1992-08,312.081,
1992-09,712.891,
1992-10,708.715,
1992-11,593.115,
1992-12,860.001,
1993-01,1059.257,
1993-02,1128.342,
1993-03,1197.072,
1993-04,882.300,
1993-05,553.392,
1993-06,1112.732,
1993-07,923.106,
1993-08,740.246,
1993-09,547.668,
1993-10,864.068,
1993-11,1204.092,
1993-12,827.224,
1994-01,1348.227,
1994-02,1047.560,
1994-03,1287.347,
1994-04,603.115,
1994-05,1109.474,
1994-06,987.537,
1994-07,930.321,
1994-08,1096.851,
1994-09,860.369,
1994-10,964.329,
1994-11,948.164,
1994-12,2748.558,
1995-01,1080.023,
1995-02,1507.169,
1995-03,1752.676,
1995-04,1124.695,
1995-05,1774.436,
1995-06,1213.169,
1995-07,2296.769,
1995-08,1213.525,
1995-09,2117.521,
1995-10,2043.616,
1995-11,1898.690,
1995-12,2618.780,
1996-01,1938.269,
1996-02,1743.966,
1996-03,2233.372,
1996-04,1847.667,
1996-05,2053.824,
1996-06,2082.364,
1996-07,3555.470,
1996-08,2581.451,
1996-09,2398.099,
1996-10,2484.950,
1996-11,2333.173,
1996-12,3028.839,
1997-01,3429.560,
1997-02,1974.120,
1997-03,2587.592,
1997-04,2727.864,
1997-05,2251.499,
1997-06,2401.970,
1997-07,3645.574,
1997-08,2634.356,
1997-09,3899.831,
1997-10,3749.183,
1997-11,3588.437,
1997-12,3351.854,
1998-01,7598.446,
1998-02,8114.484,
1998-03,9067.529,
1998-04,7711.422,
1998-05,7671.945,
1998-06,8828.399,
1998-07,8201.513,
1998-08,8227.041,
1998-09,9246.183,
1998-10,9395.325,
1998-11,10650.816,
1998-12,21601.197,
1999-01,8508.213,
1999-02,7227.599,
1999-03,7156.618,
1999-04,9947.465,
1999-05,5888.517,
1999-06,11235.502,
1999-07,10443.810,
1999-08,9418.341,
1999-09,10861.043,
1999-10,8285.502,
1999-11,20885.045,
1999-12,19448.546,
2000-01,10671.554,
2000-02,10049.086,
2000-03,10495.682,
2000-04,10088.849,
2000-05,10081.979,
2000-06,10534.851,
2000-07,8972.703,
2000-08,10867.279,
2000-09,12120.825,
2000-10,11820.104,
2000-11,10817.105,
2000-12,9004.205,
2001-01,11308.382,
2001-02,10458.368,
2001-03,12324.329,
2001-04,10208.804,
2001-05,13717.376,
2001-06,13835.679,
2001-07,13520.275,
2001-08,16287.960,
2001-09,14123.991,
2001-10,15087.346,
2001-11,27895.125,
2001-12,23107.361,
2002-01,16996.563,
2002-02,20225.321,
2002-03,17112.490,
2002-04,17734.256,
2002-05,16729.920,
2002-06,16767.013,
2002-07,19888.375,
2002-08,15814.524,
2002-09,19693.575,
2002-10,20238.132,
2002-11,18463.087,
2002-12,13587.120,
2003-01,22969.644,
2003-02,18219.092,
2003-03,22486.363,
2003-04,21091.233,
2003-05,27746.287,
2003-06,22342.905,
2003-07,24434.519,
2003-08,25283.743,
2003-09,26465.951,
2003-10,27816.920,
2003-11,24707.433,
2003-12,15099.568,
2004-01,26662.682,
2004-02,25787.017,
2004-03,25432.082,
2004-04,22914.937,
2004-05,24486.527,
2004-06,24969.088,
2004-07,22789.413,
2004-08,24420.339,
2004-09,23698.207,
2004-10,24433.703,
2004-11,29269.287,
2004-12,27135.404,
2005-01,26671.583,
2005-02,23988.136,
2005-03,23347.283,
2005-04,25305.983,
2005-05,20607.600,
2005-06,25276.442,
2005-07,23166.574,
2005-08,26082.531,
2005-09,27092.459,
2005-10,24747.301,
2005-11,28147.963,
2005-12,24740.593,
2006-01,32043.620,
2006-02,26895.890,
2006-03,26790.754,
2006-04,28276.346,
2006-05,28595.404,
2006-06,32073.842,
2006-07,30758.114,
2006-08,32819.881,
2006-09,33210.831,
2006-10,29708.039,
2006-11,29298.659,
2006-12,23534.166,
2007-01,32483.530,
2007-02,27476.553,
2007-03,32919.411,
2007-04,30225.864,
2007-05,30331.412,
2007-06,31931.132,
2007-07,31191.045,
2007-08,32331.266,
2007-09,37242.828,
2007-10,47994.181,
2007-11,43141.294,
2007-12,42892.438,
2008-01,46201.552,
2008-02,44952.173,
2008-03,41496.844,
2008-04,34204.338,
2008-05,46989.207,
2008-06,46063.664,
2008-07,47869.907,
2008-08,38612.809,
2008-09,41890.650,
2008-10,54760.240,
2008-11,33353.386,
2008-12,32939.542,
2009-01,39082.094,
2009-02,38829.211,
2009-03,29850.193,
2009-04,29378.024,
2009-05,29014.940,
2009-06,28290.597,
2009-07,34869.711,
2009-08,34873.582,
2009-09,30005.700,
2009-10,31775.246,
2009-11,30869.034,
2009-12,33488.209,
2010-01,34902.465,
2010-02,28735.297,
2010-03,35909.541,
2010-04,31799.796,
2010-05,35543.545,
2010-06,32683.150,
2010-07,29619.932,
2010-08,28976.802,
2010-09,33898.347,
2010-10,32722.468,
2010-11,29616.443,
2010-12,25148.088,
2011-01,36238.552,
2011-02,33410.028,
2011-03,43232.635,
2011-04,38270.492,
2011-05,37411.047,
2011-06,32762.354,
2011-07,36046.355,
2011-08,39850.625,
2011-09,41083.564,
2011-10,35016.026,
2011-11,33310.572,
2011-12,33095.456,
2012-01,35863.166,
2012-02,35756.129,
2012-03,43835.997,
2012-04,37627.443,
2012-05,42460.683,
2012-06,30880.236,
2012-07,35885.710,
2012-08,36333.446,
2012-09,37945.141,
2012-10,41548.280,
2012-11,37381.471,
2012-12,68610.291,
2013-01,46941.418,
2013-02,42415.512,
2013-03,44800.324,
2013-04,39093.664,
2013-05,47585.515,
2013-06,44761.935,
2013-07,44092.635,
2013-08,44838.364,
2013-09,64301.014,
2013-10,67110.855,
2013-11,56507.910,
2013-12,46235.836,
2014-01,65726.976,
2014-02,65491.238,Provisional value
2014-03,56115.726,Provisional value
2014-04,55532.610,Provisional value
2014-05,49784.578,Provisional value
2014-06,42281.961,Provisional value
2014-07,51437.285,Provisional value
2014-08,46900.000,Provisional value
2014-09,40360.731,
2014-10,40178.453,
2014-11,41414.728,
2014-12,30531.248,Provisional value
