"",BBK01.OEXI05N,BBK01.OEXI05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:56,
2002-01,19.786,
2002-04,19.622,
2002-07,19.735,
2002-10,19.684,
2003-01,19.251,
2003-04,19.031,
2003-07,19.272,
2003-10,18.622,
2004-01,18.169,
2004-04,17.165,
2004-07,16.985,
2004-10,4.383,
2005-01,4.412,
2005-04,4.303,
2005-07,4.307,
2005-10,3.713,
2006-01,3.714,
2006-04,5.312,
2006-07,5.196,
2006-10,6.015,
2007-01,6.049,
2007-04,6.819,
2007-07,7.424,
2007-10,7.184,
2008-01,7.681,
2008-04,8.450,
2008-07,8.391,
2008-10,10.880,
2009-01,11.314,
2009-04,11.732,
2009-07,14.595,
2009-10,15.064,
2010-01,18.968,
2010-04,18.250,
2010-07,17.689,
2010-10,20.406,
2011-01,19.582,
2011-04,19.586,
2011-07,18.972,
2011-10,19.007,
2012-01,17.960,
2012-04,17.252,
2012-07,15.527,
2012-10,18.595,
2013-01,20.505,
2013-04,19.182,
2013-07,18.004,
2013-10,18.661,
2014-01,19.920,
2014-04,18.603,
2014-07,20.160,
