"",BBK01.OEAC41H,BBK01.OEAC41H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:58,
2002-01,2.237,
2002-04,2.085,
2002-07,2.004,
2002-10,1.749,
2003-01,1.831,
2003-04,1.759,
2003-07,1.768,
2003-10,1.832,
2004-01,1.642,
2004-04,1.640,
2004-07,1.618,
2004-10,1.592,
2005-01,1.467,
2005-04,1.432,
2005-07,1.475,
2005-10,1.609,
2006-01,1.722,
2006-04,1.800,
2006-07,1.782,
2006-10,1.939,
2007-01,1.896,
2007-04,2.278,
2007-07,2.005,
2007-10,1.914,
2008-01,1.997,
2008-04,2.200,
2008-07,2.244,
2008-10,2.298,
2009-01,2.108,
2009-04,1.930,
2009-07,1.739,
2009-10,1.762,
2010-01,1.711,
2010-04,1.892,
2010-07,1.829,
2010-10,1.734,
2011-01,1.427,
2011-04,1.589,
2011-07,1.569,
2011-10,2.001,
2012-01,1.894,
2012-04,1.988,
2012-07,2.035,
2012-10,2.102,
2013-01,1.994,
2013-04,2.163,
2013-07,2.252,
2013-10,2.189,
2014-01,2.105,
2014-04,2.174,
2014-07,2.249,
