"",BBK01.OEAA18O,BBK01.OEAA18O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:31,
2002-01,5.855,
2002-04,5.466,
2002-07,5.584,
2002-10,5.514,
2003-01,5.702,
2003-04,5.352,
2003-07,5.501,
2003-10,4.811,
2004-01,5.374,
2004-04,4.705,
2004-07,4.667,
2004-10,4.341,
2005-01,5.871,
2005-04,5.728,
2005-07,5.748,
2005-10,5.238,
2006-01,5.734,
2006-04,5.695,
2006-07,5.831,
2006-10,5.555,
2007-01,5.872,
2007-04,5.983,
2007-07,7.188,
2007-10,6.549,
2008-01,6.559,
2008-04,6.624,
2008-07,6.249,
2008-10,5.625,
2009-01,5.578,
2009-04,5.248,
2009-07,5.105,
2009-10,5.047,
2010-01,5.141,
2010-04,5.411,
2010-07,5.532,
2010-10,5.686,
2011-01,5.700,
2011-04,5.757,
2011-07,5.710,
2011-10,5.638,
2012-01,5.859,
2012-04,5.987,
2012-07,5.746,
2012-10,5.634,
2013-01,6.050,
2013-04,5.914,
2013-07,6.211,
2013-10,6.010,
2014-01,6.225,
2014-04,6.012,
2014-07,5.922,
