"",BBFN1.M.DE.N.1.A.O1.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.O1.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / Countries in Oceania,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:17,
1995-01,0.150,
1995-02,0.151,
1995-03,0.149,
1995-04,0.149,
1995-05,0.160,
1995-06,0.159,
1995-07,0.166,
1995-08,0.161,
1995-09,0.160,
1995-10,0.165,
1995-11,0.155,
1995-12,0.184,
1996-01,0.188,
1996-02,0.186,
1996-03,0.199,
1996-04,0.192,
1996-05,0.191,
1996-06,0.178,
1996-07,0.174,
1996-08,0.169,
1996-09,0.171,
1996-10,0.173,
1996-11,0.174,
1996-12,0.187,
1997-01,0.187,
1997-02,0.187,
1997-03,0.186,
1997-04,0.186,
1997-05,0.185,
1997-06,0.212,
1997-07,0.212,
1997-08,0.213,
1997-09,0.215,
1997-10,0.221,
1997-11,0.222,
1997-12,0.251,
1998-01,0.248,
1998-02,0.253,
1998-03,0.258,
1998-04,0.262,
1998-05,0.267,
1998-06,0.271,
1998-07,0.270,
1998-08,0.270,
1998-09,0.293,
1998-10,0.295,
1998-11,0.294,
1998-12,0.280,
1999-01,0.305,
1999-02,0.314,
1999-03,0.314,
1999-04,0.317,
1999-05,0.309,
1999-06,0.323,
1999-07,0.324,
1999-08,0.318,
1999-09,0.318,
1999-10,0.329,
1999-11,0.293,
1999-12,0.210,
2000-01,0.210,
2000-02,0.176,
2000-03,0.158,
2000-04,0.160,
2000-05,0.163,
2000-06,0.164,
2000-07,0.164,
2000-08,0.165,
2000-09,0.136,
2000-10,0.131,
2000-11,0.126,
2000-12,0.128,
2001-01,0.111,
2001-02,0.108,
2001-03,0.108,
2001-04,0.113,
2001-05,0.104,
2001-06,0.100,
2001-07,0.092,
2001-08,0.095,
2001-09,0.090,
2001-10,0.095,
2001-11,0.084,
2001-12,0.089,
2002-01,0.083,
2002-02,0.082,
2002-03,0.074,
2002-04,0.072,
2002-05,0.068,
2002-06,0.068,
2002-07,0.064,
2002-08,0.065,
2002-09,0.062,
2002-10,0.069,
2002-11,0.064,
2002-12,0.059,
2003-01,0.060,
2003-02,0.062,
2003-03,0.061,
2003-04,0.061,
2003-05,0.058,
2003-06,0.057,
2003-07,0.060,
2003-08,0.062,
2003-09,0.062,
2003-10,0.062,
2003-11,0.076,
2003-12,0.049,
2004-01,0.046,
2004-02,0.048,
2004-03,0.048,
2004-04,0.048,
2004-05,0.049,
2004-06,0.042,
2004-07,0.043,
2004-08,0.042,
2004-09,0.044,
2004-10,0.044,
2004-11,0.049,
2004-12,0.046,
2005-01,0.046,
2005-02,0.048,
2005-03,0.039,
2005-04,0.038,
2005-05,0.056,
2005-06,0.056,
2005-07,0.055,
2005-08,0.039,
2005-09,0.085,
2005-10,0.085,
2005-11,0.090,
2005-12,0.089,
2006-01,0.089,
2006-02,0.084,
2006-03,0.082,
2006-04,0.124,
2006-05,0.124,
2006-06,1.099,
2006-07,1.097,
2006-08,1.094,
2006-09,1.095,
2006-10,1.105,
2006-11,1.104,
2006-12,1.112,
2007-01,1.115,
2007-02,1.115,
2007-03,1.109,
2007-04,1.111,
2007-05,1.108,
2007-06,1.108,
2007-07,0.147,
2007-08,0.153,
2007-09,0.215,
2007-10,0.215,
2007-11,0.306,
2007-12,0.307,
2008-01,0.306,
2008-02,0.311,
2008-03,0.315,
2008-04,0.313,
2008-05,0.431,
2008-06,0.432,
2008-07,0.425,
2008-08,0.424,
2008-09,0.427,
2008-10,0.542,
2008-11,0.801,
2008-12,0.835,
2009-01,0.906,
2009-02,0.895,
2009-03,0.881,
2009-04,0.895,
2009-05,0.947,
2009-06,1.019,
2009-07,1.070,
2009-08,1.074,
2009-09,1.143,
2009-10,1.199,
2009-11,1.226,
2009-12,1.273,
2010-01,1.284,
2010-02,1.353,
2010-03,1.402,
2010-04,1.453,
2010-05,1.378,
2010-06,1.400,
2010-07,1.381,
2010-08,1.370,
2010-09,1.315,
2010-10,1.365,
2010-11,1.248,
2010-12,1.377,
2011-01,1.576,
2011-02,2.049,
2011-03,2.080,
2011-04,2.039,
2011-05,2.062,
2011-06,2.052,
2011-07,2.054,
2011-08,2.035,
2011-09,2.037,
2011-10,2.039,
2011-11,1.962,
2011-12,1.984,
2012-01,1.744,
2012-02,1.722,
2012-03,1.744,
2012-04,1.680,
2012-05,1.680,
2012-06,1.609,
2012-07,1.562,
2012-08,1.477,
2012-09,1.783,
2012-10,1.717,
2012-11,1.870,
2012-12,1.814,
2013-01,1.813,
2013-02,1.443,
2013-03,1.455,
2013-04,1.500,
2013-05,1.528,
2013-06,1.500,
2013-07,1.498,
2013-08,1.515,
2013-09,1.581,
2013-10,1.527,
2013-11,1.464,
2013-12,1.372,
2014-01,1.253,
2014-02,1.228,
2014-03,1.118,
2014-04,1.191,
2014-05,1.334,
2014-06,1.423,
2014-07,1.495,
2014-08,1.573,
2014-09,1.655,
2014-10,1.682,
2014-11,1.690,
2014-12,1.686,
