"",BBK01.OEAA34P,BBK01.OEAA34P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:00,
2002-01,0.597,
2002-04,0.604,
2002-07,0.628,
2002-10,0.618,
2003-01,0.568,
2003-04,0.569,
2003-07,0.554,
2003-10,0.537,
2004-01,0.491,
2004-04,0.490,
2004-07,0.485,
2004-10,0.466,
2005-01,0.448,
2005-04,0.454,
2005-07,0.467,
2005-10,0.446,
2006-01,0.429,
2006-04,0.434,
2006-07,0.436,
2006-10,0.410,
2007-01,0.402,
2007-04,0.405,
2007-07,0.398,
2007-10,0.391,
2008-01,0.386,
2008-04,0.375,
2008-07,0.391,
2008-10,0.393,
2009-01,0.378,
2009-04,0.381,
2009-07,0.363,
2009-10,0.354,
2010-01,0.341,
2010-04,0.306,
2010-07,0.318,
2010-10,0.307,
2011-01,0.307,
2011-04,0.305,
2011-07,0.308,
2011-10,0.302,
2012-01,0.302,
2012-04,0.288,
2012-07,0.293,
2012-10,0.297,
2013-01,0.349,
2013-04,0.332,
2013-07,0.318,
2013-10,0.314,
2014-01,0.306,
2014-04,0.308,
2014-07,0.311,
