"",BBK01.OEAD12L,BBK01.OEAD12L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:55,
2002-01,1.589,
2002-04,1.564,
2002-07,1.432,
2002-10,1.465,
2003-01,1.306,
2003-04,1.182,
2003-07,1.249,
2003-10,0.966,
2004-01,0.884,
2004-04,0.626,
2004-07,1.006,
2004-10,0.842,
2005-01,0.782,
2005-04,2.406,
2005-07,2.150,
2005-10,2.363,
2006-01,2.323,
2006-04,3.186,
2006-07,2.942,
2006-10,2.129,
2007-01,2.788,
2007-04,2.613,
2007-07,1.859,
2007-10,1.904,
2008-01,2.151,
2008-04,3.253,
2008-07,2.956,
2008-10,2.057,
2009-01,1.269,
2009-04,1.327,
2009-07,1.190,
2009-10,0.887,
2010-01,0.544,
2010-04,0.596,
2010-07,0.454,
2010-10,0.297,
2011-01,0.499,
2011-04,0.474,
2011-07,0.511,
2011-10,0.476,
2012-01,0.529,
2012-04,0.533,
2012-07,0.481,
2012-10,0.444,
2013-01,0.427,
2013-04,0.420,
2013-07,0.455,
2013-10,0.491,
2014-01,0.460,
2014-04,0.539,
2014-07,0.411,
