"",BBFB1.Q.N.DE.DK.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.DK.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Denmark,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:14,
1991-01,-0.365,
1991-04,2.036,
1991-07,1.760,
1991-10,0.477,
1992-01,1.478,
1992-04,6.538,
1992-07,3.582,
1992-10,1.553,
1993-01,3.226,
1993-04,-3.106,
1993-07,2.145,
1993-10,4.950,
1994-01,-8.110,
1994-04,49.930,
1994-07,20.006,
1994-10,-4.447,
1995-01,-4.323,
1995-04,7.426,
1995-07,-24.738,
1995-10,15.593,
1996-01,86.897,
1996-04,14.104,
1996-07,9.906,
1996-10,35.351,
1997-01,-11.810,
1997-04,16.701,
1997-07,24.275,
1997-10,28.246,
1998-01,-23.345,
1998-04,0.530,
1998-07,31.640,
1998-10,42.267,
1999-01,-25.603,
1999-04,-7.636,
1999-07,77.247,
1999-10,33.724,
2000-01,1.865,
2000-04,40.657,
2000-07,48.451,
2000-10,28.414,
2001-01,-83.887,
2001-04,-14.864,
2001-07,36.246,
2001-10,25.119,
2002-01,-13.944,
2002-04,1.595,
2002-07,-24.014,
2002-10,24.053,
2003-01,-40.366,
2003-04,-32.751,
2003-07,-18.837,
2003-10,53.873,
2004-01,-45.561,
2004-04,-21.465,
2004-07,19.836,
2004-10,6.307,
2005-01,27.386,
2005-04,-120.045,
2005-07,99.326,
2005-10,160.682,
2006-01,67.966,
2006-04,20.982,
2006-07,-42.846,
2006-10,158.719,
2007-01,102.035,
2007-04,-148.191,
2007-07,-21.837,
2007-10,362.954,
2008-01,-160.759,
2008-04,-110.088,
2008-07,31.175,
2008-10,885.461,
2009-01,604.937,
2009-04,174.248,
2009-07,-269.574,
2009-10,-0.210,
2010-01,-65.525,
2010-04,842.583,
2010-07,1187.727,
2010-10,-457.164,
2011-01,-275.708,
2011-04,-160.351,
2011-07,572.025,
2011-10,449.359,
2012-01,60.498,
2012-04,581.232,
2012-07,242.905,
2012-10,145.489,
2013-01,178.773,
2013-04,361.367,
2013-07,367.221,
2013-10,189.404,
2014-01,386.203,Provisional value
2014-04,484.321,Provisional value
2014-07,349.445,Provisional value
2014-10,241.197,Provisional value
