"",BBK01.TVE323,BBK01.TVE323_FLAGS
"",Deposits of central governments / Euro area,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:43,
1997-10,-191,
1997-11,-8447,
1997-12,11887,
1998-01,-7421,
1998-02,13410,
1998-03,-20441,
1998-04,1729,
1998-05,-6405,
1998-06,12692,
1998-07,8790,
1998-08,8354,
1998-09,-8160,
1998-10,-1304,
1998-11,-6811,
1998-12,1486,
1999-01,-5379,
1999-02,8931,
1999-03,-7740,
1999-04,-17568,
1999-05,4919,
1999-06,4233,
1999-07,10008,
1999-08,2945,
1999-09,-4688,
1999-10,1830,
1999-11,10991,
1999-12,-4143,
2000-01,-8319,
2000-02,10922,
2000-03,-14510,
2000-04,1553,
2000-05,-17866,
2000-06,32103,
2000-07,-11327,
2000-08,5834,
2000-09,18750,
2000-10,13171,
2000-11,-3642,
2000-12,-4254,
2001-01,-19049,
2001-02,8709,
2001-03,-5227,
2001-04,2164,
2001-05,-5640,
2001-06,18617,
2001-07,-9972,
2001-08,-3113,
2001-09,-4567,
2001-10,5438,
2001-11,-3031,
2001-12,-11217,
2002-01,10442,
2002-02,6872,
2002-03,1730,
2002-04,44,
2002-05,-8538,
2002-06,6023,
2002-07,-3084,
2002-08,-10964,
2002-09,1562,
2002-10,5520,
2002-11,-4349,
2002-12,-11028,
2003-01,15211,
2003-02,18637,
2003-03,-1051,
2003-04,-16471,
2003-05,10370,
2003-06,30204,
2003-07,-24573,
2003-08,-9994,
2003-09,20864,
2003-10,-18049,
2003-11,14585,
2003-12,-24676,
2004-01,18322,
2004-02,18931,
2004-03,-9192,
2004-04,-4731,
2004-05,15513,
2004-06,28655,
2004-07,-22229,
2004-08,-8531,
2004-09,11102,
2004-10,-6687,
2004-11,-14592,
2004-12,-20433,
2005-01,18162,
2005-02,29515,
2005-03,-22666,
2005-04,-6518,
2005-05,-7407,
2005-06,37999,
2005-07,-703,
2005-08,-44331,
2005-09,15666,
2005-10,-3042,
2005-11,5725,
2005-12,-11571,
2006-01,18073,
2006-02,8030,
2006-03,-6502,
2006-04,-10534,
2006-05,-15441,
2006-06,41268,
2006-07,-13093,
2006-08,-9516,
2006-09,17985,
2006-10,-9778,
2006-11,814,
2006-12,-36293,
2007-01,11032,
2007-02,18975,
2007-03,-5316,
2007-04,-9863,
2007-05,25954,
2007-06,21058,
2007-07,-41354,
2007-08,-6346,
2007-09,22068,
2007-10,-16327,
2007-11,15381,
2007-12,-48882,
2008-01,15416,
2008-02,20113,
2008-03,11158,
2008-04,-2376,
2008-05,-23988,
2008-06,37336,
2008-07,-30347,
2008-08,5869,
2008-09,4500,
2008-10,70515,
2008-11,70848,
2008-12,-70293,
2009-01,62809,
2009-02,11660,
2009-03,12233,
2009-04,-14153,
2009-05,-5751,
2009-06,22174,
2009-07,-55812,
2009-08,-12314,
2009-09,20702,
2009-10,22302,
2009-11,-13455,
2009-12,-54578,
2010-01,27984,
2010-02,-3608,
2010-03,-5876,
2010-04,-19833,
2010-05,33977,
2010-06,20249,
2010-07,-22313,
2010-08,-20228,
2010-09,3353,
2010-10,78081,
2010-11,17096,
2010-12,-97107,
2011-01,51906,
2011-02,13457,
2011-03,-29137,
2011-04,7995,
2011-05,-16974,
2011-06,51624,
2011-07,-21989,
2011-08,-60430,
2011-09,4905,
2011-10,471,
2011-11,4214,
2011-12,-6892,
2012-01,59930,
2012-02,23164,
2012-03,-13771,
2012-04,-36256,
2012-05,26215,
2012-06,17236,
2012-07,-32608,
2012-08,-39604,
2012-09,33506,
2012-10,-22803,
2012-11,40542,
2012-12,-60631,
2013-01,33939,
2013-02,5684,
2013-03,10640,
2013-04,-50575,
2013-05,62508,
2013-06,30303,
2013-07,-26111,
2013-08,-55658,
2013-09,11204,
2013-10,-27960,
2013-11,18378,
2013-12,-49320,
2014-01,20387,
2014-02,36898,
2014-03,-5318,
2014-04,-10673,
2014-05,33080,
2014-06,26386,
2014-07,-23093,
2014-08,-46413,
2014-09,-6128,
2014-10,-6511,
2014-11,25932,
2014-12,-47048,
2015-01,79628,
