"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.CZ.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.CZ.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total / Czech Republic,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:44,
2009-09,617,
2009-10,688,
2009-11,698,
2009-12,711,
2010-01,690,
2010-02,759,
2010-03,759,
2010-04,845,
2010-05,888,
2010-06,1006,
2010-07,1039,
2010-08,1070,
2010-09,1197,
2010-10,1209,
2010-11,1191,
2010-12,1196,
2011-01,1196,
2011-02,1163,
2011-03,1138,
2011-04,1179,
2011-05,1198,
2011-06,1333,
2011-07,1353,
2011-08,1402,
2011-09,1410,
2011-10,1405,
2011-11,1385,
2011-12,1416,
2012-01,1413,
2012-02,1648,
2012-03,1804,
2012-04,1846,
2012-05,1879,
2012-06,1902,
2012-07,2029,
2012-08,2145,
2012-09,2127,
2012-10,2401,
2012-11,2440,
2012-12,2444,
2013-01,2341,
2013-02,2279,
2013-03,2278,
2013-04,2393,
2013-05,2478,
2013-06,2409,
2013-07,2411,
2013-08,2377,
2013-09,2292,
2013-10,2262,
2013-11,2233,
2013-12,2199,
2014-01,2188,
2014-02,2213,
2014-03,2205,
2014-04,2126,
2014-05,2090,
2014-06,2080,
2014-07,2047,
2014-08,2049,
2014-09,2029,
2014-10,2056,
2014-11,2047,
