"",BBK01.OEAA40M,BBK01.OEAA40M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:54,
2002-01,8.124,
2002-04,8.154,
2002-07,8.247,
2002-10,8.387,
2003-01,8.520,
2003-04,8.412,
2003-07,8.423,
2003-10,10.131,
2004-01,9.571,
2004-04,10.298,
2004-07,12.665,
2004-10,11.924,
2005-01,13.482,
2005-04,13.383,
2005-07,13.372,
2005-10,13.223,
2006-01,12.996,
2006-04,12.703,
2006-07,12.326,
2006-10,11.978,
2007-01,11.988,
2007-04,11.458,
2007-07,11.004,
2007-10,10.516,
2008-01,9.165,
2008-04,8.673,
2008-07,8.020,
2008-10,7.482,
2009-01,7.079,
2009-04,6.629,
2009-07,6.238,
2009-10,5.973,
2010-01,5.849,
2010-04,5.937,
2010-07,6.014,
2010-10,6.001,
2011-01,5.882,
2011-04,5.827,
2011-07,5.760,
2011-10,5.746,
2012-01,5.577,
2012-04,5.406,
2012-07,5.233,
2012-10,4.981,
2013-01,4.621,
2013-04,4.336,
2013-07,3.907,
2013-10,3.555,
2014-01,3.264,
2014-04,3.006,
2014-07,2.797,
