"",BBK01.OEAH35M,BBK01.OEAH35M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:50,
2002-01,20.218,
2002-04,20.325,
2002-07,20.204,
2002-10,21.457,
2003-01,22.843,
2003-04,23.054,
2003-07,24.269,
2003-10,21.321,
2004-01,22.207,
2004-04,24.530,
2004-07,25.891,
2004-10,26.801,
2005-01,27.924,
2005-04,29.032,
2005-07,29.219,
2005-10,28.624,
2006-01,29.080,
2006-04,29.764,
2006-07,30.272,
2006-10,29.901,
2007-01,30.533,
2007-04,31.206,
2007-07,31.586,
2007-10,32.155,
2008-01,33.078,
2008-04,33.731,
2008-07,33.691,
2008-10,36.510,
2009-01,37.481,
2009-04,38.641,
2009-07,38.395,
2009-10,38.095,
2010-01,37.664,
2010-04,36.973,
2010-07,36.226,
2010-10,37.102,
2011-01,37.018,
2011-04,36.400,
2011-07,36.326,
2011-10,36.409,
2012-01,35.587,
2012-04,36.766,
2012-07,36.431,
2012-10,36.799,
2013-01,35.958,
2013-04,37.280,
2013-07,36.223,
2013-10,34.782,
2014-01,33.730,
2014-04,35.053,
2014-07,33.982,
