"",BBFB1.Q.N.DE.A7.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.A7.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / South American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:14,
1991-01,240.677,
1991-04,508.321,
1991-07,108.613,
1991-10,390.275,
1992-01,298.701,
1992-04,341.309,
1992-07,67.544,
1992-10,466.103,
1993-01,-175.705,
1993-04,-500.057,
1993-07,-161.301,
1993-10,-323.040,
1994-01,145.296,
1994-04,-199.051,
1994-07,-5.531,
1994-10,116.476,
1995-01,73.948,
1995-04,527.096,
1995-07,759.241,
1995-10,-391.316,
1996-01,-284.327,
1996-04,347.852,
1996-07,16.838,
1996-10,542.747,
1997-01,-282.415,
1997-04,-329.630,
1997-07,676.563,
1997-10,550.105,
1998-01,729.061,
1998-04,219.057,
1998-07,337.077,
1998-10,-416.378,
1999-01,-575.041,
1999-04,-91.851,
1999-07,-182.370,
1999-10,185.835,
2000-01,-392.412,
2000-04,-45.971,
2000-07,-226.896,
2000-10,108.491,
2001-01,-455.899,
2001-04,83.117,
2001-07,43.761,
2001-10,-251.375,
2002-01,-431.109,
2002-04,-411.908,
2002-07,-567.238,
2002-10,-394.221,
2003-01,-356.133,
2003-04,-513.158,
2003-07,12.953,
2003-10,-324.167,
2004-01,-427.828,
2004-04,-295.156,
2004-07,-337.837,
2004-10,-288.178,
2005-01,-282.444,
2005-04,-348.506,
2005-07,-524.731,
2005-10,58.026,
2006-01,-402.531,
2006-04,134.514,
2006-07,-430.459,
2006-10,622.376,
2007-01,246.306,
2007-04,996.786,
2007-07,971.297,
2007-10,19.828,
2008-01,1086.536,
2008-04,779.574,
2008-07,602.788,
2008-10,-1022.171,
2009-01,-1891.040,
2009-04,-1375.210,
2009-07,433.674,
2009-10,1480.997,
2010-01,-44.243,
2010-04,208.858,
2010-07,689.765,
2010-10,-27.137,
2011-01,720.130,
2011-04,827.473,
2011-07,286.442,
2011-10,-629.513,
2012-01,555.852,
2012-04,-733.262,
2012-07,-1141.320,
2012-10,653.878,
2013-01,-145.049,
2013-04,-515.660,
2013-07,103.753,
2013-10,441.300,
2014-01,85.994,Provisional value
2014-04,-740.091,Provisional value
2014-07,566.790,Provisional value
2014-10,-507.239,Provisional value
