"",BBK01.OECI08H,BBK01.OECI08H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:06,
2002-01,8.488,
2002-04,7.451,
2002-07,7.456,
2002-10,7.968,
2003-01,9.005,
2003-04,9.639,
2003-07,11.294,
2003-10,11.894,
2004-01,12.579,
2004-04,13.828,
2004-07,14.469,
2004-10,15.101,
2005-01,21.196,
2005-04,21.477,
2005-07,21.587,
2005-10,20.658,
2006-01,20.097,
2006-04,19.466,
2006-07,18.471,
2006-10,17.844,
2007-01,17.903,
2007-04,17.382,
2007-07,16.606,
2007-10,16.648,
2008-01,16.382,
2008-04,16.484,
2008-07,15.947,
2008-10,16.083,
2009-01,17.942,
2009-04,18.820,
2009-07,19.330,
2009-10,19.916,
2010-01,20.390,
2010-04,20.399,
2010-07,20.614,
2010-10,20.883,
2011-01,20.708,
2011-04,20.054,
2011-07,19.603,
2011-10,19.505,
2012-01,20.403,
2012-04,19.954,
2012-07,20.134,
2012-10,20.772,
2013-01,20.732,
2013-04,20.525,
2013-07,20.012,
2013-10,19.854,
2014-01,19.548,
2014-04,19.434,
2014-07,19.541,
