"",BBSF2.M.1.S.00000.REN01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.REN01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Number,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:49:34,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,583,
1993-05,589,
1993-06,590,
1993-07,609,
1993-08,619,
1993-09,634,
1993-10,638,
1993-11,645,
1993-12,662,
1994-01,665,
1994-02,675,
1994-03,685,
1994-04,692,
1994-05,706,
1994-06,716,
1994-07,722,
1994-08,735,
1994-09,742,
1994-10,745,
1994-11,747,
1994-12,756,
1995-01,758,
1995-02,768,
1995-03,772,
1995-04,777,
1995-05,777,
1995-06,778,
1995-07,775,
1995-08,777,
1995-09,776,
1995-10,775,
1995-11,775,
1995-12,792,
1996-01,803,
1996-02,808,
1996-03,822,
1996-04,837,
1996-05,847,
1996-06,856,
1996-07,865,
1996-08,872,
1996-09,876,
1996-10,891,
1996-11,898,
1996-12,904,
1997-01,917,
1997-02,926,
1997-03,943,
1997-04,960,
1997-05,968,
1997-06,981,
1997-07,994,
1997-08,1013,
1997-09,1024,
1997-10,1033,
1997-11,1040,
1997-12,1049,
1998-01,1052,
1998-02,1062,
1998-03,1081,
1998-04,1088,
1998-05,1105,
1998-06,1114,
1998-07,1134,
1998-08,1141,
1998-09,1153,
1998-10,1167,
1998-11,1190,
1998-12,1203,
1999-01,1210,
1999-02,1228,
1999-03,1238,
1999-04,1256,
1999-05,1273,
1999-06,1280,
1999-07,1298,
1999-08,1306,
1999-09,1314,
1999-10,1317,
1999-11,1332,
1999-12,1355,
2000-01,1359,
2000-02,1363,
2000-03,1376,
2000-04,1389,
2000-05,1408,
2000-06,1410,
2000-07,1415,
2000-08,1425,
2000-09,1431,
2000-10,1443,
2000-11,1442,
2000-12,1450,
2001-01,1471,
2001-02,1485,
2001-03,1483,
2001-04,1494,
2001-05,1493,
2001-06,1497,
2001-07,1505,
2001-08,1517,
2001-09,1520,
2001-10,1517,
2001-11,1509,
2001-12,1509,
2002-01,1506,
2002-02,1509,
2002-03,1498,
2002-04,1497,
2002-05,1489,
2002-06,1478,
2002-07,1473,
2002-08,1472,
2002-09,1464,
2002-10,1463,
2002-11,1449,
2002-12,1411,
2003-01,1411,
2003-02,1408,
2003-03,1395,
2003-04,1395,
2003-05,1386,
2003-06,1398,
2003-07,1388,
2003-08,1390,
2003-09,1386,
2003-10,1391,
2003-11,1382,
2003-12,1375,
2004-01,1372,
2004-02,1358,
2004-03,1357,
2004-04,1353,
2004-05,1347,
2004-06,1341,
2004-07,1342,
2004-08,1331,
2004-09,1313,
2004-10,1307,
2004-11,1303,
2004-12,1293,
2005-01,1283,
2005-02,1264,
2005-03,1228,
2005-04,1228,
2005-05,1224,
2005-06,1216,
2005-07,1206,
2005-08,1197,
2005-09,1176,
2005-10,1163,
2005-11,1143,
2005-12,1122,
2006-01,1106,
2006-02,1098,
2006-03,1091,
2006-04,1083,
2006-05,1074,
2006-06,1067,
2006-07,1052,
2006-08,1047,
2006-09,1046,
2006-10,1044,
2006-11,1041,
2006-12,1017,
2007-01,1006,
2007-02,1001,
2007-03,987,
2007-04,975,
2007-05,960,
2007-06,951,
2007-07,954,
2007-08,943,
2007-09,936,
2007-10,927,
2007-11,923,
2007-12,911,
2008-01,908,
2008-02,904,
2008-03,899,
2008-04,902,
2008-05,900,
2008-06,890,
2008-07,881,
2008-08,879,
2008-09,874,
2008-10,870,
2008-11,874,
2008-12,870,
2009-01,861,
2009-02,858,
2009-03,853,
2009-04,851,
2009-05,832,
2009-06,830,
2009-07,841,
2009-08,842,
2009-09,831,
2009-10,833,
2009-11,815,
2009-12,813,
2010-01,823,
2010-02,824,
2010-03,823,
2010-04,829,
2010-05,829,
2010-06,820,
2010-07,821,
2010-08,822,
2010-09,825,
2010-10,817,
2010-11,815,
2010-12,792,
2011-01,792,
2011-02,797,
2011-03,793,
2011-04,792,
2011-05,789,
2011-06,790,
2011-07,786,
2011-08,783,
2011-09,780,
2011-10,785,
2011-11,771,
2011-12,771,
2012-01,771,
2012-02,770,
2012-03,776,
2012-04,786,
2012-05,795,
2012-06,807,
2012-07,800,
2012-08,809,
2012-09,814,
2012-10,815,
2012-11,803,
2012-12,803,
2013-01,806,
2013-02,804,
2013-03,806,
2013-04,801,
2013-05,792,
2013-06,795,
2013-07,828,
2013-08,825,
2013-09,821,
2013-10,811,
2013-11,807,
2013-12,809,
2014-01,804,
2014-02,797,
2014-03,792,
2014-04,789,
2014-05,785,
2014-06,785,
2014-07,766,
2014-08,766,
2014-09,767,
2014-10,765,
2014-11,762,
