"",BBK01.OEAA05L,BBK01.OEAA05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:17,
2002-01,392.726,
2002-04,389.982,
2002-07,392.585,
2002-10,389.908,
2003-01,397.450,
2003-04,397.532,
2003-07,402.718,
2003-10,408.487,
2004-01,408.350,
2004-04,408.833,
2004-07,411.521,
2004-10,409.108,
2005-01,411.081,
2005-04,414.078,
2005-07,418.846,
2005-10,417.460,
2006-01,413.536,
2006-04,405.456,
2006-07,405.263,
2006-10,399.846,
2007-01,395.285,
2007-04,397.761,
2007-07,411.511,
2007-10,422.739,
2008-01,435.572,
2008-04,418.746,
2008-07,452.693,
2008-10,450.751,
2009-01,440.166,
2009-04,439.626,
2009-07,403.418,
2009-10,399.600,
2010-01,394.928,
2010-04,397.464,
2010-07,398.345,
2010-10,396.808,
2011-01,391.708,
2011-04,387.645,
2011-07,387.887,
2011-10,384.459,
2012-01,380.673,
2012-04,383.416,
2012-07,381.111,
2012-10,375.556,
2013-01,374.305,
2013-04,373.655,
2013-07,376.262,
2013-10,375.837,
2014-01,374.393,
2014-04,373.333,
2014-07,378.339,
