"",BBK01.OECL07O,BBK01.OECL07O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:01,
2002-01,0.652,
2002-04,0.486,
2002-07,0.477,
2002-10,0.528,
2003-01,0.574,
2003-04,0.580,
2003-07,0.712,
2003-10,0.748,
2004-01,0.730,
2004-04,0.738,
2004-07,0.890,
2004-10,0.946,
2005-01,2.346,
2005-04,2.329,
2005-07,2.257,
2005-10,2.221,
2006-01,2.166,
2006-04,2.110,
2006-07,2.040,
2006-10,2.002,
2007-01,2.050,
2007-04,2.028,
2007-07,1.977,
2007-10,1.995,
2008-01,2.005,
2008-04,2.068,
2008-07,2.006,
2008-10,2.071,
2009-01,2.122,
2009-04,2.270,
2009-07,2.409,
2009-10,2.463,
2010-01,2.495,
2010-04,2.458,
2010-07,2.482,
2010-10,2.543,
2011-01,2.523,
2011-04,2.436,
2011-07,2.426,
2011-10,2.424,
2012-01,2.652,
2012-04,2.582,
2012-07,2.553,
2012-10,2.579,
2013-01,2.497,
2013-04,2.450,
2013-07,2.357,
2013-10,2.319,
2014-01,2.256,
2014-04,2.208,
2014-07,2.288,
