"",BBFB1.Q.N.DE.U3.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.U3.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Intra EU Extra Euro Area (EU Member States and institutions not belonging to the Euro area) changing composition,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:06,
1991-01,152.477,
1991-04,259.241,
1991-07,-105.574,
1991-10,138.340,
1992-01,229.839,
1992-04,-158.276,
1992-07,-14.691,
1992-10,333.913,
1993-01,148.363,
1993-04,436.198,
1993-07,-4.531,
1993-10,148.929,
1994-01,34.265,
1994-04,-60.306,
1994-07,-660.534,
1994-10,808.209,
1995-01,414.445,
1995-04,-42.249,
1995-07,-43.437,
1995-10,1015.379,
1996-01,207.542,
1996-04,113.378,
1996-07,76.700,
1996-10,2644.359,
1997-01,4127.421,
1997-04,17.430,
1997-07,-2826.986,
1997-10,979.646,
1998-01,15130.107,
1998-04,2565.823,
1998-07,-6523.470,
1998-10,79.748,
1999-01,2474.235,
1999-04,1751.996,
1999-07,2153.606,
1999-10,2464.774,
2000-01,177080.734,
2000-04,21850.446,
2000-07,10252.045,
2000-10,-146470.914,
2001-01,7062.132,
2001-04,-10461.694,
2001-07,-1745.078,
2001-10,-3760.725,
2002-01,4377.649,
2002-04,-2990.084,
2002-07,-436.597,
2002-10,2034.341,
2003-01,9677.286,
2003-04,1753.541,
2003-07,-336.230,
2003-10,-6753.073,
2004-01,147.859,
2004-04,-319.821,
2004-07,-660.678,
2004-10,4904.827,
2005-01,-424.278,
2005-04,1732.293,
2005-07,3220.363,
2005-10,1153.445,
2006-01,747.205,
2006-04,-715.002,
2006-07,2121.196,
2006-10,3910.677,
2007-01,3004.708,
2007-04,451.270,
2007-07,2136.848,
2007-10,-1249.443,
2008-01,-6096.094,
2008-04,7015.132,
2008-07,918.404,
2008-10,-4172.263,
2009-01,-5430.132,
2009-04,1188.963,
2009-07,888.456,
2009-10,2919.636,
2010-01,2034.161,
2010-04,1019.158,
2010-07,4929.649,
2010-10,1436.480,
2011-01,500.019,
2011-04,809.227,
2011-07,239.791,
2011-10,6674.495,
2012-01,-4438.092,
2012-04,1038.353,
2012-07,-5051.189,
2012-10,-1960.009,
2013-01,1502.822,
2013-04,-72.793,
2013-07,1493.212,
2013-10,2780.030,
2014-01,-1324.722,Provisional value
2014-04,-3040.855,Provisional value
2014-07,1577.182,Provisional value
2014-10,1856.246,Provisional value
