"",BBK01.OEYB03S,BBK01.OEYB03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:29,
2002-01,0.176,
2002-04,0.175,
2002-07,0.189,
2002-10,0.219,
2003-01,0.160,
2003-04,0.120,
2003-07,0.118,
2003-10,0.118,
2004-01,0.112,
2004-04,0.125,
2004-07,0.133,
2004-10,0.115,
2005-01,0.094,
2005-04,0.113,
2005-07,0.123,
2005-10,0.135,
2006-01,0.118,
2006-04,0.146,
2006-07,0.151,
2006-10,0.150,
2007-01,0.190,
2007-04,0.225,
2007-07,0.267,
2007-10,0.291,
2008-01,0.306,
2008-04,0.351,
2008-07,0.396,
2008-10,0.434,
2009-01,0.406,
2009-04,0.558,
2009-07,0.569,
2009-10,0.648,
2010-01,0.653,
2010-04,0.712,
2010-07,0.741,
2010-10,0.756,
2011-01,0.839,
2011-04,1.051,
2011-07,1.222,
2011-10,1.345,
2012-01,1.343,
2012-04,1.267,
2012-07,1.236,
2012-10,1.187,
2013-01,1.161,
2013-04,1.119,
2013-07,1.064,
2013-10,0.960,
2014-01,0.948,
2014-04,0.803,
2014-07,0.823,
