"",BBK01.OEAE03L,BBK01.OEAE03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:04,
2002-01,9.093,
2002-04,8.795,
2002-07,9.534,
2002-10,11.639,
2003-01,11.970,
2003-04,11.947,
2003-07,11.831,
2003-10,9.921,
2004-01,9.316,
2004-04,9.098,
2004-07,8.849,
2004-10,8.579,
2005-01,8.588,
2005-04,8.172,
2005-07,10.649,
2005-10,7.267,
2006-01,7.113,
2006-04,6.917,
2006-07,7.427,
2006-10,6.596,
2007-01,7.292,
2007-04,7.569,
2007-07,7.761,
2007-10,8.809,
2008-01,8.153,
2008-04,8.471,
2008-07,9.823,
2008-10,12.123,
2009-01,10.940,
2009-04,10.537,
2009-07,9.619,
2009-10,9.174,
2010-01,8.593,
2010-04,8.920,
2010-07,8.749,
2010-10,8.477,
2011-01,8.848,
2011-04,8.383,
2011-07,8.688,
2011-10,8.627,
2012-01,8.844,
2012-04,9.823,
2012-07,9.661,
2012-10,6.821,
2013-01,6.680,
2013-04,6.470,
2013-07,5.940,
2013-10,5.917,
2014-01,5.693,
2014-04,6.691,
2014-07,6.832,
