"",BBK01.OEAH94H,BBK01.OEAH94H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:17,
2002-01,0.602,
2002-04,0.603,
2002-07,0.608,
2002-10,0.593,
2003-01,0.563,
2003-04,0.544,
2003-07,0.499,
2003-10,0.505,
2004-01,0.499,
2004-04,0.478,
2004-07,0.464,
2004-10,0.450,
2005-01,0.434,
2005-04,0.398,
2005-07,0.384,
2005-10,0.372,
2006-01,0.337,
2006-04,0.333,
2006-07,0.329,
2006-10,0.323,
2007-01,0.313,
2007-04,0.300,
2007-07,0.308,
2007-10,0.303,
2008-01,0.283,
2008-04,0.273,
2008-07,0.250,
2008-10,0.245,
2009-01,0.265,
2009-04,0.248,
2009-07,0.251,
2009-10,0.263,
2010-01,0.263,
2010-04,0.256,
2010-07,0.267,
2010-10,0.258,
2011-01,0.259,
2011-04,0.266,
2011-07,0.268,
2011-10,0.268,
2012-01,0.266,
2012-04,0.246,
2012-07,0.244,
2012-10,0.224,
2013-01,0.208,
2013-04,0.192,
2013-07,0.298,
2013-10,0.291,
2014-01,0.288,
2014-04,0.271,
2014-07,0.262,
