"",BBK01.PQL356,BBK01.PQL356_FLAGS
"",Lending to domestic enterprises / Medium-term / Credit cooperatives,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:36,
1968-10,0.286,
1969-01,0.290,
1969-04,0.304,
1969-07,0.318,
1969-10,0.325,
1970-01,0.334,
1970-04,0.352,
1970-07,0.375,
1970-10,0.398,
1971-01,0.416,
1971-04,0.453,
1971-07,0.491,
1971-10,0.526,
1972-01,0.535,
1972-04,0.564,
1972-07,0.597,
1972-10,0.643,
1973-01,0.659,
1973-04,0.702,
1973-07,0.718,
1973-10,0.777,
1974-01,0.776,
1974-04,0.815,
1974-07,0.859,
1974-10,0.922,
1975-01,0.949,
1975-04,0.991,
1975-07,1.046,
1975-10,1.092,
1976-01,1.136,
1976-04,1.207,
1976-07,1.257,
1976-10,1.333,
1977-01,1.365,
1977-04,1.424,
1977-07,1.451,
1977-10,1.544,
1978-01,1.631,
1978-04,1.746,
1978-07,1.846,
1978-10,1.970,
1979-01,2.017,
1979-04,2.093,
1979-07,2.160,
1979-10,2.180,
1980-01,2.134,
1980-04,2.161,
1980-07,2.175,
1980-10,2.155,
1981-01,2.179,
1981-04,2.314,
1981-07,2.372,
1981-10,2.425,
1982-01,2.422,
1982-04,2.481,
1982-07,2.501,
1982-10,2.562,
1983-01,2.525,
1983-04,2.472,
1983-07,2.450,
1983-10,2.498,
1984-01,2.489,
1984-04,2.518,
1984-07,2.542,
1984-10,2.562,
1985-01,2.539,
1985-04,2.523,
1985-07,2.517,
1985-10,2.723,
1986-01,2.686,
1986-04,2.688,
1986-07,2.577,
1986-10,2.506,
1987-01,2.451,
1987-04,2.463,
1987-07,2.426,
1987-10,2.479,
1988-01,2.443,
1988-04,2.473,
1988-07,2.482,
1988-10,2.476,
1989-01,2.506,
1989-04,2.592,
1989-07,2.660,
1989-10,2.768,
1990-01,2.880,
1990-04,3.033,
1990-07,3.246,
1990-10,3.518,
1991-01,3.585,
1991-04,3.816,
1991-07,4.115,
1991-10,4.408,
1992-01,4.737,
1992-04,5.035,
1992-07,5.278,
1992-10,5.549,
1993-01,5.638,
1993-04,5.740,
1993-07,5.860,
1993-10,5.878,
1994-01,5.814,
1994-04,5.811,
1994-07,5.971,
1994-10,6.116,
1995-01,6.319,
1995-04,6.326,
1995-07,6.396,
1995-10,6.368,
1996-01,6.305,
1996-04,6.299,
1996-07,6.322,
1996-10,6.436,
1997-01,6.338,
1997-04,6.353,
1997-07,6.406,
1997-10,6.371,
1998-01,6.315,
1998-04,6.274,
1998-07,6.144,
1998-10,5.817,
1999-01,7.884,
1999-04,7.565,
1999-07,7.542,
1999-10,7.223,
2000-01,7.203,
2000-04,7.096,
2000-07,7.070,
2000-10,6.997,
2001-01,6.835,
2001-04,6.798,
2001-07,6.676,
2001-10,6.679,
2002-01,6.524,
2002-04,6.429,
2002-07,6.438,
2002-10,6.323,
2003-01,6.069,
2003-04,5.899,
2003-07,5.755,
2003-10,5.605,
2004-01,5.498,
2004-04,5.503,
2004-07,5.466,
2004-10,5.296,
2005-01,5.115,
2005-04,5.091,
2005-07,5.007,
2005-10,5.008,
2006-01,4.992,
2006-04,5.054,
2006-07,5.134,
2006-10,5.123,
2007-01,5.217,
2007-04,5.247,
2007-07,5.396,
2007-10,5.477,
2008-01,5.560,
2008-04,5.756,
2008-07,6.160,
2008-10,7.048,
2009-01,7.256,
2009-04,7.464,
2009-07,7.698,
2009-10,7.847,
2010-01,7.894,
2010-04,7.893,
2010-07,8.032,
2010-10,8.158,
2011-01,8.243,
2011-04,8.374,
2011-07,8.393,
2011-10,8.394,
2012-01,8.641,
2012-04,8.755,
2012-07,8.908,
2012-10,8.806,
2013-01,8.995,
2013-04,9.296,
2013-07,9.555,
2013-10,9.597,
2014-01,9.663,
2014-04,9.796,
2014-07,10.085,
2014-10,10.150,
