"",BBK01.OEAH60Q,BBK01.OEAH60Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:18,
2002-01,2.648,
2002-04,2.548,
2002-07,2.614,
2002-10,2.556,
2003-01,2.436,
2003-04,2.164,
2003-07,2.299,
2003-10,2.206,
2004-01,2.246,
2004-04,2.207,
2004-07,2.393,
2004-10,2.320,
2005-01,2.139,
2005-04,2.042,
2005-07,2.142,
2005-10,2.277,
2006-01,2.610,
2006-04,2.723,
2006-07,3.316,
2006-10,3.292,
2007-01,3.495,
2007-04,3.692,
2007-07,3.999,
2007-10,4.623,
2008-01,4.912,
2008-04,5.242,
2008-07,5.803,
2008-10,5.784,
2009-01,4.081,
2009-04,3.298,
2009-07,2.587,
2009-10,1.931,
2010-01,1.686,
2010-04,1.549,
2010-07,1.353,
2010-10,1.238,
2011-01,1.221,
2011-04,1.347,
2011-07,1.474,
2011-10,1.443,
2012-01,1.423,
2012-04,1.427,
2012-07,1.525,
2012-10,1.570,
2013-01,1.274,
2013-04,1.490,
2013-07,1.643,
2013-10,2.035,
2014-01,1.938,
2014-04,1.867,
2014-07,1.594,
