"",BBEX3.M.LYD.EUR.CA.AB.A01,BBEX3.M.LYD.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Libya  / EUR 1 = LYD ... (selling),
unit,LYD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:58,
1999-01,0.520625,
1999-02,0.512821,
1999-03,0.502367,
1999-04,0.500307,
1999-05,0.495247,
1999-06,0.492552,
1999-07,0.496989,
1999-08,0.488119,
1999-09,0.486512,
1999-10,0.481183,
1999-11,0.466501,
1999-12,0.466121,
2000-01,0.460455,
2000-02,0.477731,
2000-03,0.472719,
2000-04,0.457041,
2000-05,0.468868,
2000-06,0.470160,
2000-07,0.467665,
2000-08,0.454054,
2000-09,0.476621,
2000-10,0.465743,
2000-11,0.476083,
2000-12,0.504035,
2001-01,0.502664,
2001-02,0.501371,
2001-03,0.494448,
2001-04,0.500422,
2001-05,0.480946,
2001-06,0.557581,
2001-07,0.569963,
2001-08,0.581619,
2001-09,0.580190,
2001-10,0.580490,
2001-11,0.572805,
2001-12,0.574872,
2002-01,1.144982,comment
2002-02,1.148773,
2002-03,1.153186,
2002-04,1.172832,
2002-05,1.194308,
2002-06,1.235650,
2002-07,1.222861,
2002-08,1.220768,
2002-09,1.222670,
2002-10,1.239321,
2002-11,1.234956,
2002-12,1.268040,
2003-01,1.298379,
2003-02,1.294473,
2003-03,1.297490,
2003-04,1.312576,
2003-05,1.372156,
2003-06,1.577216,comment
2003-07,1.581052,
2003-08,1.536961,
2003-09,1.564390,
2003-10,1.574050,
2003-11,1.591677,
2003-12,1.634959,
2004-01,1.629966,
2004-02,1.625357,
2004-03,1.600448,
2004-04,1.589353,
2004-05,1.615127,
2004-06,1.606341,
2004-07,1.600608,
2004-08,1.600740,
2004-09,1.625644,
2004-10,1.646312,
2004-11,1.675472,
2004-12,1.701878,
2005-01,1.660380,
2005-02,1.672854,
2005-03,1.661917,
2005-04,1.655272,
2005-05,1.637143,
2005-06,1.600356,
2005-07,1.607048,
2005-08,1.616190,
2005-09,1.609383,
2005-10,1.619244,
2005-11,1.601560,
2005-12,1.598969,
2006-01,1.621331,
2006-02,1.601653,
2006-03,1.618405,
2006-04,1.646801,
2006-05,1.665218,
2006-06,1.655116,
2006-07,1.659555,
2006-08,1.670560,
2006-09,1.660038,
2006-10,1.662174,
2006-11,1.692452,
2006-12,1.695147,
2007-01,1.684710,
2007-02,1.702507,
2007-03,1.708768,
2007-04,1.732254,
2007-05,1.719431,
2007-06,1.719965,
2007-07,1.728575,
2007-08,1.722979,
2007-09,1.764552,
2007-10,1.778989,
2007-11,1.796676,
2007-12,1.803116,
2008-01,1.802561,
2008-02,1.820600,
2008-03,1.859100,
2008-04,1.855700,
2008-05,1.861900,
2008-06,1.871700,
2008-07,1.863700,
2008-08,1.818300,
2008-09,1.805500,
2008-10,1.660300,
2008-11,1.677100,
2008-12,1.764500,
2009-01,1.699800,
2009-02,1.679200,
2009-03,1.715200,
2009-04,1.715200,
2009-05,1.764200,
2009-06,1.756600,
2009-07,1.759000,
2009-08,1.779300,
2009-09,1.786600,
2009-10,1.804700,
2009-11,1.814400,
2009-12,1.778300,
2010-01,1.740800,
2010-02,1.715300,
2010-03,1.718800,
2010-04,1.703200,
2010-05,1.627200,
2010-06,1.601900,
2010-07,1.661500,
2010-08,1.623100,
2010-09,1.694200,
2010-10,1.712900,
2010-11,1.653100,
2010-12,1.665100,
2011-01,1.693300,
2011-02,1.698900,
2011-03,1.731400,
2011-04,1.773400,
2011-05,1.731400,
2011-06,1.745800,
2011-07,1.742500,
2011-08,1.732000,comment
2011-09,1.682200,
2011-10,1.714000,
2011-11,1.696900,
2011-12,1.632300,
2012-01,1.646900,
2012-02,1.675700,
2012-03,1.669000,
2012-04,1.653900,
2012-05,1.590100,
2012-06,1.600500,
2012-07,1.576200,
2012-08,1.599300,
2012-09,1.618700,
2012-10,1.631700,
2012-11,1.635900,
2012-12,1.661500,
2013-01,1.703600,
2013-02,1.680400,
2013-03,1.654300,
2013-04,1.681500,
2013-05,1.678500,
2013-06,1.679000,
2013-07,1.697600,
2013-08,1.697600,
2013-09,1.704500,
2013-10,1.722700,
2013-11,1.715300,
2013-12,1.733300,
2014-01,1.718000,
2014-02,1.719400,
2014-03,1.725600,
2014-04,1.726600,
2014-05,1.712900,
2014-06,1.710900,
2014-07,1.695400,
2014-08,1.694000,
2014-09,1.652100,
2014-10,1.651300,
2014-11,1.651200,
2014-12,1.626100,
2015-01,1.551500,
"","Source: Central Bank of Libya, Tripolis",
"","Comment on 2002-01: On 1 January 2002, the Libyan dinar was devalued. We recorded the following exchange rates (buying/selling rate) for this date:  EUR 1 = LYD 1.151010 / 1.156780  Calculated devaluation against the rates recorded at end-December 2001: 50.3%",
"","Comment on 2003-06: On 15 June 2003, the exchange rate were adjusted more sharply. We recorded the following exchange rates (buying/selling rate) for this date:  14 June 2003: EUR 1 = LYD 1.356054 / 1.362852  15 June 2003: EUR 1 = LYD 1.593941 / 1.601931  Calculated devaluation: 14.9%",
"",Comment on 2011-08: Exchange rate on 17 August 2011; no exchange rates were published between 18 August and 5 September 2011.,
