"",BBFB1.Q.N.DE.JP.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.JP.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Japan,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:27,
1991-01,2854.344,
1991-04,-1083.694,
1991-07,-331.945,
1991-10,1731.766,
1992-01,-121.639,
1992-04,1740.568,
1992-07,-2882.101,
1992-10,1327.942,
1993-01,2292.151,
1993-04,1110.861,
1993-07,-2918.015,
1993-10,1059.381,
1994-01,-184.388,
1994-04,-2578.504,
1994-07,1015.865,
1994-10,-340.701,
1995-01,12.003,
1995-04,1002.004,
1995-07,5394.273,
1995-10,649.883,
1996-01,2491.627,
1996-04,3394.379,
1996-07,1351.099,
1996-10,-2161.269,
1997-01,3418.155,
1997-04,-1147.714,
1997-07,-2249.770,
1997-10,4848.510,
1998-01,-3202.412,
1998-04,1696.473,
1998-07,-1335.062,
1998-10,9637.209,
1999-01,-8058.728,
1999-04,-2527.410,
1999-07,1270.569,
1999-10,1126.859,
2000-01,3800.430,
2000-04,764.224,
2000-07,-1460.063,
2000-10,3485.230,
2001-01,-6943.675,
2001-04,3033.674,
2001-07,-1520.751,
2001-10,3333.572,
2002-01,2215.495,
2002-04,723.407,
2002-07,-2985.423,
2002-10,10541.611,
2003-01,-3464.153,
2003-04,14432.663,
2003-07,-836.582,
2003-10,-3287.960,
2004-01,5948.841,
2004-04,4147.254,
2004-07,2492.693,
2004-10,-3862.292,
2005-01,-10323.316,
2005-04,2483.020,
2005-07,4587.288,
2005-10,190.724,
2006-01,-7826.189,
2006-04,-4802.801,
2006-07,-2475.289,
2006-10,-4504.169,
2007-01,-499.517,
2007-04,2593.319,
2007-07,-2186.951,
2007-10,1809.121,
2008-01,1754.977,
2008-04,2667.081,
2008-07,1638.834,
2008-10,-7940.582,
2009-01,-4585.865,
2009-04,-372.703,
2009-07,684.483,
2009-10,817.531,
2010-01,987.244,
2010-04,1322.522,
2010-07,3019.091,
2010-10,6168.806,
2011-01,-4079.216,
2011-04,1568.128,
2011-07,-2764.626,
2011-10,-1975.141,
2012-01,-1635.394,
2012-04,580.908,
2012-07,-1741.184,
2012-10,155.323,
2013-01,-3812.194,
2013-04,2600.205,
2013-07,-2200.338,
2013-10,1670.783,
2014-01,668.542,Provisional value
2014-04,177.309,Provisional value
2014-07,-1866.791,Provisional value
2014-10,-3917.349,Provisional value
