"",BBK01.OEAH47O,BBK01.OEAH47O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:05,
2002-01,0.079,
2002-04,0.076,
2002-07,0.078,
2002-10,0.081,
2003-01,0.084,
2003-04,0.082,
2003-07,0.071,
2003-10,0.083,
2004-01,0.094,
2004-04,0.086,
2004-07,0.082,
2004-10,0.110,
2005-01,0.162,
2005-04,0.164,
2005-07,0.161,
2005-10,0.169,
2006-01,0.167,
2006-04,0.170,
2006-07,0.173,
2006-10,0.160,
2007-01,0.155,
2007-04,0.146,
2007-07,0.151,
2007-10,0.185,
2008-01,0.201,
2008-04,0.207,
2008-07,0.197,
2008-10,0.225,
2009-01,0.190,
2009-04,0.190,
2009-07,0.197,
2009-10,0.226,
2010-01,0.241,
2010-04,0.246,
2010-07,0.241,
2010-10,0.238,
2011-01,0.233,
2011-04,0.235,
2011-07,0.242,
2011-10,0.247,
2012-01,0.250,
2012-04,0.263,
2012-07,0.254,
2012-10,0.239,
2013-01,0.221,
2013-04,0.182,
2013-07,0.179,
2013-10,0.181,
2014-01,0.170,
2014-04,0.175,
2014-07,0.169,
