"",BBFB1.Q.N.DE.A5.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A5.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Central America and Caribbean countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:59,
1991-01,610.671,
1991-04,616.772,
1991-07,575.997,
1991-10,673.526,
1992-01,631.737,
1992-04,669.544,
1992-07,691.784,
1992-10,525.412,
1993-01,525.279,
1993-04,664.074,
1993-07,645.134,
1993-10,683.170,
1994-01,583.844,
1994-04,619.415,
1994-07,651.093,
1994-10,690.669,
1995-01,576.057,
1995-04,472.464,
1995-07,500.794,
1995-10,505.174,
1996-01,515.724,
1996-04,449.233,
1996-07,586.048,
1996-10,642.101,
1997-01,655.082,
1997-04,619.698,
1997-07,816.846,
1997-10,885.306,
1998-01,943.782,
1998-04,933.854,
1998-07,1380.384,
1998-10,1129.632,
1999-01,1211.290,
1999-04,1173.896,
1999-07,1562.750,
1999-10,1519.584,
2000-01,1373.776,
2000-04,1309.081,
2000-07,1589.775,
2000-10,1431.950,
2001-01,1506.080,
2001-04,1501.187,
2001-07,1786.232,
2001-10,1569.705,
2002-01,1520.466,
2002-04,1600.060,
2002-07,1444.746,
2002-10,1918.079,
2003-01,1480.328,
2003-04,1273.681,
2003-07,1389.540,
2003-10,1409.279,
2004-01,1601.948,
2004-04,1406.963,
2004-07,1594.084,
2004-10,1769.843,
2005-01,1811.544,
2005-04,1743.920,
2005-07,2475.753,
2005-10,1877.408,
2006-01,2196.487,
2006-04,2088.056,
2006-07,2102.965,
2006-10,2699.377,
2007-01,2249.902,
2007-04,2214.127,
2007-07,2834.290,
2007-10,1978.846,
2008-01,2074.161,
2008-04,2536.295,
2008-07,2416.442,
2008-10,2323.114,
2009-01,1637.691,
2009-04,1386.022,
2009-07,1656.167,
2009-10,1808.668,
2010-01,1774.757,
2010-04,2124.896,
2010-07,2732.324,
2010-10,2495.177,
2011-01,2119.006,
2011-04,2184.890,
2011-07,2415.818,
2011-10,2445.809,
2012-01,2573.832,
2012-04,2133.083,
2012-07,2983.984,
2012-10,2786.419,
2013-01,2853.589,
2013-04,2494.947,
2013-07,2110.660,
2013-10,2711.438,
2014-01,2558.785,Provisional value
2014-04,2361.504,Provisional value
2014-07,2833.764,Provisional value
