"",BBK01.CEBHX0,BBK01.CEBHX0_FLAGS
"",Shares debtor: Other financial intermediaries                  creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:26,
1997-10,0.0,
1998-01,0.0,
1998-04,0.0,
1998-07,0.0,
1998-10,0.0,
1999-01,27.1,
1999-04,25.9,
1999-07,21.3,
1999-10,28.6,
2000-01,31.5,
2000-04,29.1,
2000-07,27.0,
2000-10,23.8,
2001-01,20.8,
2001-04,22.5,
2001-07,19.9,
2001-10,21.3,
2002-01,22.9,
2002-04,22.2,
2002-07,15.7,
2002-10,15.1,
2003-01,19.5,
2003-04,19.4,
2003-07,11.5,
2003-10,9.9,
2004-01,10.7,
2004-04,10.7,
2004-07,10.0,
2004-10,10.3,
2005-01,12.5,
2005-04,14.7,
2005-07,18.9,
2005-10,12.3,
2006-01,18.7,
2006-04,18.3,
2006-07,29.7,
2006-10,32.3,
2007-01,37.2,
2007-04,46.1,
2007-07,49.3,
2007-10,55.6,
2008-01,39.8,
2008-04,48.3,
2008-07,37.2,
2008-10,32.4,
2009-01,33.5,
2009-04,31.9,
2009-07,32.0,
2009-10,45.7,
2010-01,47.0,
2010-04,45.0,
2010-07,25.7,
2010-10,26.4,
2011-01,28.5,
2011-04,28.2,
2011-07,21.5,
2011-10,24.4,
2012-01,26.9,
2012-04,24.8,
2012-07,26.0,
2012-10,27.3,
2013-01,29.8,
2013-04,30.6,
2013-07,31.9,
2013-10,33.1,
2014-01,34.3,
