"",BBK01.OECL05G,BBK01.OECL05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:44,
2002-01,0.018,
2002-04,0.016,
2002-07,0.015,
2002-10,0.014,
2003-01,0.014,
2003-04,0.014,
2003-07,0.013,
2003-10,0.013,
2004-01,0.012,
2004-04,0.011,
2004-07,0.011,
2004-10,0.012,
2005-01,0.192,
2005-04,0.187,
2005-07,0.181,
2005-10,0.175,
2006-01,0.169,
2006-04,0.169,
2006-07,0.168,
2006-10,0.163,
2007-01,0.156,
2007-04,0.153,
2007-07,0.156,
2007-10,0.157,
2008-01,0.151,
2008-04,0.146,
2008-07,0.141,
2008-10,0.205,
2009-01,0.243,
2009-04,0.335,
2009-07,0.342,
2009-10,0.366,
2010-01,0.378,
2010-04,0.376,
2010-07,0.395,
2010-10,0.393,
2011-01,0.378,
2011-04,0.310,
2011-07,0.312,
2011-10,0.309,
2012-01,0.298,
2012-04,0.274,
2012-07,0.302,
2012-10,0.285,
2013-01,0.281,
2013-04,0.283,
2013-07,0.261,
2013-10,0.251,
2014-01,0.191,
2014-04,0.184,
2014-07,0.142,
