"",BBK01.OEAE25H,BBK01.OEAE25H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:12,
2002-01,0.773,
2002-04,0.763,
2002-07,0.761,
2002-10,0.744,
2003-01,0.727,
2003-04,0.742,
2003-07,0.731,
2003-10,0.769,
2004-01,0.756,
2004-04,0.770,
2004-07,0.768,
2004-10,0.768,
2005-01,0.761,
2005-04,0.747,
2005-07,0.744,
2005-10,0.741,
2006-01,0.745,
2006-04,0.776,
2006-07,0.765,
2006-10,0.750,
2007-01,0.783,
2007-04,0.787,
2007-07,0.769,
2007-10,0.750,
2008-01,0.692,
2008-04,0.616,
2008-07,0.593,
2008-10,0.537,
2009-01,0.557,
2009-04,0.572,
2009-07,0.580,
2009-10,0.546,
2010-01,0.551,
2010-04,0.594,
2010-07,0.619,
2010-10,0.606,
2011-01,0.584,
2011-04,0.596,
2011-07,0.880,
2011-10,0.890,
2012-01,0.908,
2012-04,1.074,
2012-07,1.114,
2012-10,1.078,
2013-01,1.089,
2013-04,1.136,
2013-07,1.142,
2013-10,1.130,
2014-01,1.113,
2014-04,1.146,
2014-07,1.114,
