"",BBK01.OEBJ10M,BBK01.OEBJ10M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:06,
2002-01,0.106,
2002-04,0.106,
2002-07,0.104,
2002-10,0.103,
2003-01,0.102,
2003-04,0.092,
2003-07,0.090,
2003-10,0.087,
2004-01,0.108,
2004-04,0.104,
2004-07,0.097,
2004-10,0.095,
2005-01,0.092,
2005-04,0.091,
2005-07,0.085,
2005-10,0.083,
2006-01,0.082,
2006-04,0.078,
2006-07,0.077,
2006-10,0.073,
2007-01,0.066,
2007-04,0.060,
2007-07,0.057,
2007-10,0.052,
2008-01,0.048,
2008-04,0.044,
2008-07,0.042,
2008-10,0.039,
2009-01,0.038,
2009-04,0.036,
2009-07,0.037,
2009-10,0.035,
2010-01,0.033,
2010-04,0.032,
2010-07,0.031,
2010-10,0.029,
2011-01,0.028,
2011-04,0.011,
2011-07,0.011,
2011-10,0.003,
2012-01,0.003,
2012-04,0.002,
2012-07,0.002,
2012-10,0.002,
2013-01,0.002,
2013-04,0.002,
2013-07,0.002,
2013-10,0.002,
2014-01,0.001,
2014-04,0.001,
2014-07,0.001,
