"",BBK01.OEBJ02I,BBK01.OEBJ02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:10,
2002-01,5.841,
2002-04,4.945,
2002-07,5.804,
2002-10,6.374,
2003-01,5.884,
2003-04,6.550,
2003-07,5.019,
2003-10,4.411,
2004-01,4.598,
2004-04,4.841,
2004-07,5.016,
2004-10,5.178,
2005-01,5.037,
2005-04,5.331,
2005-07,5.502,
2005-10,6.098,
2006-01,5.156,
2006-04,5.505,
2006-07,4.676,
2006-10,6.179,
2007-01,5.764,
2007-04,5.595,
2007-07,5.764,
2007-10,6.430,
2008-01,5.176,
2008-04,5.466,
2008-07,5.038,
2008-10,6.489,
2009-01,7.587,
2009-04,9.050,
2009-07,9.376,
2009-10,9.528,
2010-01,9.734,
2010-04,9.017,
2010-07,9.182,
2010-10,10.075,
2011-01,8.681,
2011-04,8.782,
2011-07,9.226,
2011-10,9.211,
2012-01,9.747,
2012-04,10.861,
2012-07,10.768,
2012-10,11.505,
2013-01,11.831,
2013-04,11.800,
2013-07,12.027,
2013-10,13.048,
2014-01,12.471,
2014-04,13.160,
2014-07,13.413,
