"",BBK01.OEXJ05N,BBK01.OEXJ05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:50,
2002-01,8.149,
2002-04,7.994,
2002-07,7.920,
2002-10,8.161,
2003-01,8.221,
2003-04,7.957,
2003-07,8.283,
2003-10,8.492,
2004-01,8.543,
2004-04,8.608,
2004-07,9.191,
2004-10,2.107,
2005-01,2.138,
2005-04,2.159,
2005-07,2.196,
2005-10,2.176,
2006-01,2.280,
2006-04,2.429,
2006-07,2.507,
2006-10,3.520,
2007-01,3.720,
2007-04,3.787,
2007-07,3.724,
2007-10,3.583,
2008-01,3.733,
2008-04,4.302,
2008-07,4.288,
2008-10,4.634,
2009-01,4.344,
2009-04,4.330,
2009-07,4.923,
2009-10,4.488,
2010-01,4.687,
2010-04,4.470,
2010-07,4.841,
2010-10,4.993,
2011-01,5.094,
2011-04,5.052,
2011-07,5.475,
2011-10,6.173,
2012-01,5.900,
2012-04,5.758,
2012-07,4.850,
2012-10,4.991,
2013-01,7.799,
2013-04,7.275,
2013-07,7.031,
2013-10,7.378,
2014-01,8.862,
2014-04,7.192,
2014-07,9.783,
