"",BBSF2.M.1.S.I0122.AKT01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0122.AKT01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Net sales receipts / Domestic credit institutions / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:16,
1993-04,0,
1993-05,0,
1993-06,-,Nothing exists
1993-07,27,
1993-08,12,
1993-09,6,
1993-10,57,
1993-11,15,
1993-12,0,
1994-01,70,
1994-02,6,
1994-03,14,
1994-04,45,
1994-05,-44,
1994-06,2,
1994-07,26,
1994-08,0,
1994-09,27,
1994-10,0,
1994-11,15,
1994-12,28,
1995-01,16,
1995-02,-6,
1995-03,8,
1995-04,-,Nothing exists
1995-05,1,
1995-06,-,Nothing exists
1995-07,-,Nothing exists
1995-08,3,
1995-09,2,
1995-10,-,Nothing exists
1995-11,20,
1995-12,85,
1996-01,1,
1996-02,-,Nothing exists
1996-03,56,
1996-04,10,
1996-05,-6,
1996-06,5,
1996-07,12,
1996-08,-,Nothing exists
1996-09,2,
1996-10,-,Nothing exists
1996-11,11,
1996-12,100,
1997-01,92,
1997-02,122,
1997-03,13,
1997-04,28,
1997-05,21,
1997-06,183,
1997-07,47,
1997-08,42,
1997-09,110,
1997-10,174,
1997-11,234,
1997-12,214,
1998-01,112,
1998-02,0,
1998-03,138,
1998-04,273,
1998-05,167,
1998-06,142,
1998-07,106,
1998-08,125,
1998-09,111,
1998-10,5,
1998-11,33,
1998-12,133,
1999-01,42,
1999-02,77,
1999-03,8,
1999-04,137,
1999-05,40,
1999-06,53,
1999-07,28,
1999-08,107,
1999-09,22,
1999-10,-306,
1999-11,59,
1999-12,237,
2000-01,53,
2000-02,344,
2000-03,56,
2000-04,66,
2000-05,820,
2000-06,-479,
2000-07,90,
2000-08,109,
2000-09,-104,
2000-10,78,
2000-11,70,
2000-12,127,
2001-01,-10,
2001-02,-6,
2001-03,-48,
2001-04,13,
2001-05,-38,
2001-06,55,
2001-07,-2,
2001-08,-64,
2001-09,-18,
2001-10,-80,
2001-11,0,
2001-12,107,
2002-01,-85,
2002-02,-92,
2002-03,-456,
2002-04,-47,
2002-05,9,
2002-06,-10,
2002-07,-20,
2002-08,46,
2002-09,-,Nothing exists
2002-10,3,
2002-11,-,Nothing exists
2002-12,-53,
2003-01,3,
2003-02,-88,
2003-03,-34,
2003-04,-4,
2003-05,-235,
2003-06,4,
2003-07,-59,
2003-08,1,
2003-09,5,
2003-10,-3,
2003-11,6,
2003-12,156,
2004-01,4,
2004-02,98,
2004-03,66,
2004-04,44,
2004-05,180,
2004-06,-476,
2004-07,-,Nothing exists
2004-08,21,
2004-09,-55,
2004-10,-18,
2004-11,-3,
2004-12,79,
2005-01,-14,
2005-02,-14,
2005-03,-88,
2005-04,-31,
2005-05,55,
2005-06,160,
2005-07,-12,
2005-08,-223,
2005-09,-19,
2005-10,82,
2005-11,230,
2005-12,54,
2006-01,-711,
2006-02,-37,
2006-03,199,
2006-04,-62,
2006-05,552,
2006-06,-146,
2006-07,-52,
2006-08,-7,
2006-09,-539,
2006-10,237,
2006-11,-200,
2006-12,-258,
2007-01,92,
2007-02,-113,
2007-03,388,
2007-04,-71,
2007-05,170,
2007-06,153,
2007-07,-24,
2007-08,1,
2007-09,11,
2007-10,-120,
2007-11,-40,
2007-12,85,
2008-01,15,
2008-02,-21,
2008-03,-18,
2008-04,-90,
2008-05,-131,
2008-06,53,
2008-07,6,
2008-08,73,
2008-09,-50,
2008-10,1904,
2008-11,-213,
2008-12,-2052,
2009-01,-110,
2009-02,-422,
2009-03,-71,
2009-04,-132,
2009-05,-20,
2009-06,-146,
2009-07,-358,
2009-08,-546,
2009-09,-77,
2009-10,-136,
2009-11,60,
2009-12,15,
2010-01,-4,
2010-02,-77,
2010-03,178,
2010-04,5,
2010-05,-6,
2010-06,-59,
2010-07,-2,
2010-08,58,
2010-09,0,
2010-10,-39,
2010-11,-213,
2010-12,9,
2011-01,15,
2011-02,-,Nothing exists
2011-03,-54,
2011-04,-15,
2011-05,-4,
2011-06,2,
2011-07,-,Nothing exists
2011-08,-,Nothing exists
2011-09,-45,
2011-10,-,Nothing exists
2011-11,0,
2011-12,-119,
2012-01,-54,
2012-02,13,
2012-03,0,
2012-04,7,
2012-05,-,Nothing exists
2012-06,-65,
2012-07,-,Nothing exists
2012-08,-47,
2012-09,0,
2012-10,0,
2012-11,105,
2012-12,94,
2013-01,95,
2013-02,4,
2013-03,-255,
2013-04,100,
2013-05,178,
2013-06,-293,
2013-07,-55,
2013-08,-15,
2013-09,1,
2013-10,-60,
2013-11,0,
2013-12,0,
2014-01,1,
2014-02,2,
2014-03,239,
2014-04,-70,
2014-05,-,Nothing exists
2014-06,-322,
2014-07,-29,
2014-08,-,Nothing exists
2014-09,2,
2014-10,-92,
2014-11,-442,
