"",BBK01.OEAD08I,BBK01.OEAD08I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:02,
2002-01,0.714,
2002-04,0.674,
2002-07,0.551,
2002-10,0.482,
2003-01,0.455,
2003-04,0.495,
2003-07,0.475,
2003-10,0.440,
2004-01,0.429,
2004-04,0.432,
2004-07,0.410,
2004-10,0.432,
2005-01,0.436,
2005-04,0.493,
2005-07,0.499,
2005-10,0.502,
2006-01,0.479,
2006-04,0.482,
2006-07,0.495,
2006-10,0.538,
2007-01,0.506,
2007-04,0.493,
2007-07,0.535,
2007-10,0.509,
2008-01,0.491,
2008-04,0.500,
2008-07,0.488,
2008-10,0.471,
2009-01,0.431,
2009-04,0.433,
2009-07,0.401,
2009-10,0.391,
2010-01,0.282,
2010-04,0.285,
2010-07,0.279,
2010-10,0.275,
2011-01,0.379,
2011-04,0.372,
2011-07,0.406,
2011-10,0.368,
2012-01,0.369,
2012-04,0.368,
2012-07,0.363,
2012-10,0.312,
2013-01,0.310,
2013-04,0.322,
2013-07,0.293,
2013-10,0.269,
2014-01,0.257,
2014-04,0.249,
2014-07,0.267,
