"",BBSF2.M.1.S.I0002.DAC01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.DAC01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Net asset value / Pension fund institutions / Distribution and cumulative funds,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:16,
2004-01,-,Nothing exists
2004-02,-,Nothing exists
2004-03,-,Nothing exists
2004-04,0,
2004-05,0,
2004-06,0,
2004-07,0,
2004-08,0,
2004-09,0,
2004-10,0,
2004-11,0,
2004-12,18,
2005-01,18,
2005-02,26,
2005-03,26,
2005-04,26,
2005-05,26,
2005-06,27,
2005-07,27,
2005-08,27,
2005-09,37,
2005-10,37,
2005-11,37,
2005-12,38,
2006-01,44,
2006-02,44,
2006-03,59,
2006-04,59,
2006-05,60,
2006-06,60,
2006-07,60,
2006-08,111,
2006-09,112,
2006-10,113,
2006-11,114,
2006-12,115,
2007-01,119,
2007-02,120,
2007-03,127,
2007-04,128,
2007-05,130,
2007-06,130,
2007-07,130,
2007-08,128,
2007-09,129,
2007-10,130,
2007-11,128,
2007-12,129,
2008-01,160,
2008-02,161,
2008-03,167,
2008-04,170,
2008-05,171,
2008-06,167,
2008-07,166,
2008-08,166,
2008-09,161,
2008-10,3363,
2008-11,9183,
2008-12,9300,
2009-01,9221,
2009-02,8835,
2009-03,9940,
2009-04,10934,
2009-05,12177,
2009-06,12403,
2009-07,12659,
2009-08,13041,
2009-09,11823,
2009-10,11808,
2009-11,12097,
2009-12,12344,
2010-01,12363,
2010-02,12666,
2010-03,13236,
2010-04,13447,
2010-05,13283,
2010-06,13220,
2010-07,13420,
2010-08,13698,
2010-09,14137,
2010-10,14498,
2010-11,14832,
2010-12,15363,
2011-01,15515,
2011-02,15620,
2011-03,15748,
2011-04,16060,
2011-05,16031,
2011-06,16051,
2011-07,16309,
2011-08,16034,
2011-09,16271,
2011-10,16968,
2011-11,16910,
2011-12,17412,
2012-01,17990,
2012-02,18490,
2012-03,18596,
2012-04,18754,
2012-05,18600,
2012-06,19145,
2012-07,19824,
2012-08,19655,
2012-09,19884,
2012-10,19825,
2012-11,19971,
2012-12,20138,
2013-01,20686,
2013-02,20785,
2013-03,20903,
2013-04,21576,
2013-05,21690,
2013-06,21059,
2013-07,21019,
2013-08,20696,
2013-09,20995,
2013-10,21279,
2013-11,21393,
2013-12,21473,
2014-01,21424,
2014-02,21796,
2014-03,22238,
2014-04,22482,
2014-05,22836,
2014-06,23391,
2014-07,23909,
2014-08,24390,
2014-09,24682,
2014-10,24921,
2014-11,25359,
